bp	data_stats...col_RsbN...k.
26202	3.785931
26204	3.742483
26213	3.742483
118339	3.858983
118357	3.949455
149623	3.164496
285865	4.26115
285875	4.213781
293020	3.350147
293057	3.446866
325085	4.12329
325114	3.974617
333208	3.356506
333228	3.547947
392152	4.46172
392156	4.414992
439563	3.152469
439569	3.152469
439599	3.257185
454119	4.902887
454120	4.902887
454374	4.479246
454376	4.479246
519277	3.813328
519298	3.851008
604417	3.803298
604446	3.756453
631361	4.635239
631366	4.635239
638397	3.631651
638422	3.675015
642812	3.014714
642814	3.014714
642823	3.014714
642883	3.127042
642996	3.43019
643028	3.43019
643029	3.43019
643360	3.343289
643403	3.343289
644630	3.852153
644648	3.805524
661181	3.301504
661826	3.048814
661902	3.225707
680471	3.656481
680507	3.566465
696623	3.889461
696645	3.932974
710633	4.415321
710654	3.869761
711123	3.120115
711256	3.120115
733644	3.871827
733687	3.426787
737418	3.602189
737451	3.640617
737725	3.288077
737780	3.800215
761659	3.1447
956819	3.553699
1043251	3.100733
1043266	3.0621
1082046	3.591647
1082056	3.591647
1082308	3.732967
1082316	3.732967
1090995	3.196669
1091000	3.196669
1091012	3.196669
1103482	3.352827
1103484	3.356341
1103503	3.313725
1281712	3.089267
1281739	3.036035
1800072	3.146294
1800102	3.188625
1817344	3.779638
1817350	3.779638
1822006	3.970293
1822010	3.970293
1827181	4.130058
1827185	4.130058
2004648	3.616384
2004673	3.616384
2057496	3.306868
2057500	3.306868
2057522	3.34463
