Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	
13233.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
13621.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
18007.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
18008.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
18026.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
18370.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
18485.000000	0.289403	0.000000	0.000000	0.333333	0.283931	
26202.000000	0.173642	1.121889	0.059578	0.215316	0.170358	
26204.000000	0.173642	1.121889	0.059578	0.215316	0.170358	
26213.000000	0.173642	1.121889	0.059578	0.215316	0.170358	
26248.000000	0.217052	1.402361	0.074472	0.269144	0.000000	
26714.000000	0.000000	1.402361	0.074472	0.269144	0.992414	
26730.000000	0.004496	1.121889	0.059578	0.215316	0.793931	
26753.000000	0.004496	1.121889	0.059578	0.215316	0.793931	
27025.000000	0.005620	1.402361	0.000000	0.269144	0.992414	
27105.000000	0.000000	1.869815	0.000000	0.358859	1.323219	
28389.000000	0.041824	1.121889	0.009516	0.215316	0.793931	
28423.000000	0.041824	1.121889	0.009516	0.215316	0.793931	
28449.000000	0.041824	1.121889	0.009516	0.215316	0.793931	
28467.000000	0.041824	1.121889	0.009516	0.215316	0.793931	
28479.000000	0.052281	1.402361	0.000000	0.269144	0.992414	
28492.000000	0.041824	1.121889	0.015401	0.215316	0.793931	
30829.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
31047.000000	0.000000	0.371845	0.002907	0.164720	0.275567	
31060.000000	0.001905	0.297476	0.002326	0.131776	0.220454	
31100.000000	0.001905	0.297476	0.002326	0.131776	0.220454	
31516.000000	0.001905	0.297476	0.002326	0.131776	0.220454	
31566.000000	0.001905	0.297476	0.002326	0.131776	0.220454	
31567.000000	0.001905	0.297476	0.002326	0.131776	0.220454	
31569.000000	0.001905	0.297476	0.002326	0.131776	0.220454	
31585.000000	0.000000	0.495793	0.000000	0.219627	0.367423	
35348.000000	0.036671	0.297476	0.013413	0.131776	0.220454	
35349.000000	0.036671	0.297476	0.013413	0.131776	0.220454	
37087.000000	0.036671	0.297476	0.013413	0.131776	0.220454	
37092.000000	0.036671	0.297476	0.013413	0.131776	0.220454	
37096.000000	0.036671	0.297476	0.013413	0.131776	0.220454	
37137.000000	0.036671	0.297476	0.013413	0.131776	0.220454	
37167.000000	0.045839	0.371845	0.000000	0.164720	0.275567	
49918.000000	0.000000	0.371845	0.029373	0.164720	0.275567	
49921.000000	0.016776	0.297476	0.023498	0.131776	0.220454	
50077.000000	0.020970	0.371845	0.000000	0.164720	0.275567	
50089.000000	0.016776	0.297476	0.010240	0.131776	0.220454	
51708.000000	0.016776	0.297476	0.010240	0.131776	0.220454	
51765.000000	0.016776	0.297476	0.010240	0.131776	0.220454	
51769.000000	0.016776	0.297476	0.010240	0.131776	0.220454	
51773.000000	0.016776	0.297476	0.010240	0.131776	0.220454	
51776.000000	0.016776	0.297476	0.010240	0.131776	0.220454	
54017.000000	0.020970	0.371845	0.000000	0.164720	0.275567	
54341.000000	0.016776	0.297476	0.000661	0.131776	0.220454	
54380.000000	0.020970	0.371845	0.000000	0.164720	0.275567	
54487.000000	0.016776	0.297476	0.010897	0.131776	0.220454	
54571.000000	0.000000	0.371845	0.013621	0.164720	0.275567	
54937.000000	0.114583	0.297476	0.010897	0.131776	0.220454	
54952.000000	0.114583	0.297476	0.010897	0.131776	0.220454	
55097.000000	0.114583	0.297476	0.010897	0.131776	0.220454	
55128.000000	0.114583	0.297476	0.010897	0.131776	0.220454	
56327.000000	0.114583	0.297476	0.010897	0.131776	0.220454	
57019.000000	0.114583	0.297476	0.010897	0.131776	0.220454	
57836.000000	0.143229	0.371845	0.000000	0.164720	0.275567	
57847.000000	0.114583	0.297476	0.001392	0.131776	0.220454	
58601.000000	0.143229	0.371845	0.000000	0.164720	0.275567	
58650.000000	0.143229	0.371845	0.000000	0.164720	0.275567	
58703.000000	0.143229	0.371845	0.000000	0.164720	0.275567	
58704.000000	0.114583	0.297476	0.000044	0.131776	0.220454	
58713.000000	0.114583	0.297476	0.000044	0.131776	0.220454	
58718.000000	0.143229	0.371845	0.000000	0.164720	0.275567	
59102.000000	0.114583	0.297476	0.000704	0.131776	0.220454	
59105.000000	0.143229	0.371845	0.000000	0.164720	0.275567	
59324.000000	0.114583	0.297476	0.098349	0.131776	0.220454	
59350.000000	0.114583	0.297476	0.098349	0.131776	0.220454	
66868.000000	0.114583	0.297476	0.098349	0.131776	0.220454	
66892.000000	0.114583	0.297476	0.098349	0.131776	0.220454	
66930.000000	0.114583	0.297476	0.098349	0.131776	0.220454	
66938.000000	0.114583	0.297476	0.098349	0.131776	0.220454	
67135.000000	0.114583	0.297476	0.098349	0.131776	0.220454	
67156.000000	0.143229	0.371845	0.122937	0.000000	0.275567	
67167.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
70077.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
70093.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
70219.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
70257.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
71324.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
71345.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
71431.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
73636.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
75311.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
75324.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
76450.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
76471.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
76474.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
85623.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
86000.000000	0.114583	0.297476	0.098349	0.078147	0.220454	
86475.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
86483.000000	0.000000	4540.888889	0.000000	1192.888889	3365.166667	
86489.000000	0.000000	4540.888889	0.000000	1192.888889	3365.166667	
86688.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
86779.000000	0.121161	8.869886	0.121161	2.330114	6.573304	
87329.000000	0.151451	11.087358	0.151451	2.912642	0.000000	
87756.000000	0.121161	8.869886	0.121161	2.330114	1.090342	
87801.000000	0.121161	8.869886	0.121161	2.330114	1.090342	
87899.000000	0.000000	14.783143	0.000000	3.883523	1.817236	
88400.000000	0.000000	14.783143	0.000000	3.883523	1.817236	
88599.000000	0.012046	8.869886	0.012046	2.330114	1.090342	
88622.000000	0.000000	14.783143	0.000000	3.883523	1.817236	
88645.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
88900.000000	1.097345	144.665487	1.097345	15.606195	17.783186	
89013.000000	1.097345	144.665487	1.097345	15.606195	17.783186	
89168.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
89357.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
89428.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
89519.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
89537.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90411.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
90865.000000	0.000000	353.835498	0.000000	38.170996	43.495671	
90893.000000	0.655844	212.301299	0.655844	22.902597	26.097403	
90942.000000	0.655844	212.301299	0.655844	22.902597	26.097403	
91321.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
91338.000000	0.000000	45.333333	0.000000	4.890460	5.572657	
91406.000000	0.156572	27.200000	0.156572	2.934276	3.343594	
91461.000000	0.156572	27.200000	0.156572	2.934276	3.343594	
91604.000000	0.156572	27.200000	0.156572	2.934276	3.343594	
91748.000000	0.156572	27.200000	0.156572	2.934276	3.343594	
91937.000000	0.000000	45.333333	0.000000	4.890460	5.572657	
91939.000000	0.008319	27.200000	0.001830	2.934276	3.343594	
91948.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
91978.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
91984.000000	0.018128	4.370909	0.009064	0.471524	0.537299	
92054.000000	0.018128	4.370909	0.009064	0.471524	0.537299	
92104.000000	0.018128	4.370909	0.009064	0.471524	0.537299	
92197.000000	0.022660	5.463636	0.000000	0.589405	0.671624	
92443.000000	0.000000	7.284848	0.000000	0.785873	0.895499	
92531.000000	0.025909	4.370909	0.025909	0.471524	0.537299	
92827.000000	0.025909	4.370909	0.025909	0.471524	0.537299	
93116.000000	0.000000	7.284848	0.000000	0.785873	0.895499	
93217.000000	0.004305	4.370909	0.004305	0.471524	0.537299	
93277.000000	0.000000	7.284848	0.000000	0.785873	0.895499	
93465.000000	0.000000	7.284848	0.000000	0.785873	0.895499	
93601.000000	0.097139	4.370909	0.123824	0.471524	0.537299	
93952.000000	0.097139	4.370909	0.123824	0.471524	0.537299	
95311.000000	0.097139	4.370909	0.123824	0.471524	0.537299	
95388.000000	0.000000	5.463636	0.154779	0.589405	0.671624	
95431.000000	0.000000	5.463636	0.154779	0.589405	0.671624	
95724.000000	0.014492	4.370909	0.123824	0.471524	0.537299	
95973.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95987.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
96766.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
96771.000000	0.453360	64.613439	0.273913	6.970356	7.942688	
96897.000000	0.453360	64.613439	0.273913	6.970356	7.942688	
96913.000000	0.453360	64.613439	0.273913	6.970356	7.942688	
96987.000000	0.000000	80.766798	0.342391	8.712945	9.928360	
97024.000000	0.086561	64.613439	0.273913	6.970356	7.942688	
97206.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
97239.000000	0.000000	81.817818	0.000000	8.826326	10.057558	
97240.000000	0.192492	49.090691	0.169069	5.295796	6.034535	
97494.000000	0.192492	49.090691	0.169069	5.295796	6.034535	
97548.000000	0.240616	61.363363	0.000000	6.619745	7.543168	
97572.000000	0.000000	81.817818	0.000000	8.826326	10.057558	
97608.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
97610.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
97667.000000	0.317353	18.183760	0.432147	0.317353	0.317353	
98044.000000	0.317353	18.183760	0.432147	0.317353	0.317353	
98566.000000	0.317353	18.183760	0.432147	0.317353	0.317353	
99505.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
99598.000000	0.000000	2.769210	0.000000	0.374191	0.469014	
100057.000000	0.009428	1.661526	0.009428	0.224515	0.281408	
100211.000000	0.009428	1.661526	0.009428	0.224515	0.281408	
100372.000000	0.000000	2.769210	0.000000	0.374191	0.469014	
100583.000000	0.025013	1.661526	0.019201	0.224515	0.281408	
101367.000000	0.025013	1.661526	0.019201	0.224515	0.281408	
101478.000000	0.031266	2.076907	0.000000	0.280644	0.351760	
101641.000000	0.025013	1.661526	0.003028	0.224515	0.281408	
101776.000000	0.000000	2.769210	0.000000	0.374191	0.469014	
101900.000000	0.000000	2.769210	0.000000	0.374191	0.469014	
104502.000000	0.071056	1.661526	0.030062	0.224515	0.281408	
104859.000000	0.088819	2.076907	0.000000	0.280644	0.351760	
104910.000000	0.071056	1.661526	0.036849	0.224515	0.281408	
105057.000000	0.071056	1.661526	0.036849	0.224515	0.281408	
105239.000000	0.071056	1.661526	0.036849	0.224515	0.281408	
105304.000000	0.071056	1.661526	0.036849	0.224515	0.281408	
106158.000000	0.071056	1.661526	0.036849	0.224515	0.281408	
106572.000000	0.071056	1.661526	0.036849	0.224515	0.281408	
106824.000000	0.000000	2.769210	0.000000	0.374191	0.469014	
106989.000000	0.000000	2.076907	0.052106	0.280644	0.351760	
107266.000000	0.037194	1.661526	0.041684	0.224515	0.281408	
107346.000000	0.037194	1.661526	0.041684	0.224515	0.281408	
107414.000000	0.037194	1.661526	0.041684	0.224515	0.281408	
