Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	
13233.000000	0.004076	0.004076	0.000000	0.054227	0.318426	
13621.000000	0.000000	0.000000	0.000000	0.097767	0.574103	
18007.000000	0.050331	0.050331	0.000000	0.000000	0.347765	
18008.000000	0.000000	0.000000	0.000000	0.000000	1.257113	
18026.000000	0.003127	0.003127	0.003127	0.000000	0.261833	
18370.000000	0.000000	0.000000	0.000000	0.000000	1.137515	
18485.000000	0.059092	0.059092	0.140629	0.121526	0.228701	
26202.000000	0.000000	0.000000	0.200325	0.173112	0.325782	
26204.000000	0.000088	0.000088	0.149573	0.129255	0.243246	
26213.000000	0.000000	0.000000	0.249289	0.215424	0.405410	
26248.000000	0.004040	0.004040	0.150292	0.129875	0.244414	
26714.000000	0.000000	0.000000	0.331870	0.000000	0.539710	
26730.000000	0.000391	0.000391	0.186645	0.000000	0.303534	
26753.000000	0.000000	0.000000	0.254460	0.044983	0.413820	
27025.000000	0.003550	0.003550	0.187994	0.033234	0.305729	
27105.000000	0.000000	0.000000	0.342869	0.060612	0.557597	
28389.000000	0.015190	0.015190	0.000000	0.038980	0.358589	
28423.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
28449.000000	0.000207	0.000207	0.000000	0.060114	0.000207	
28467.000000	0.000000	0.000000	0.073308	0.073561	0.000000	
28479.000000	0.000123	0.000123	0.025779	0.025868	0.030420	
28492.000000	0.000000	0.000000	0.041962	0.042106	0.049516	
30829.000000	0.013678	0.013678	0.028073	0.028169	0.033126	
31047.000000	0.000000	0.000000	0.047113	0.047275	0.055594	
31060.000000	0.000242	0.000242	0.023943	0.024025	0.028253	
31100.000000	0.000000	0.000000	0.000000	0.000000	0.168493	
31516.000000	0.003193	0.003193	0.000000	0.003549	0.042315	
31566.000000	0.000000	0.000000	0.000000	0.008009	0.095493	
31567.000000	0.000007	0.000007	0.000000	0.003544	0.042249	
31569.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
31585.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35348.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35349.000000	0.013922	0.013922	0.000000	0.000000	0.233461	
37087.000000	0.000000	0.000000	0.000000	0.026259	0.409693	
37092.000000	0.000039	0.000039	0.000233	0.008067	0.125852	
37096.000000	0.000000	0.000000	0.000471	0.016292	0.254176	
37137.000000	0.000377	0.000377	0.000000	0.009916	0.154699	
37167.000000	0.000000	0.000000	0.260098	0.000000	0.294812	
49918.000000	0.065421	0.065421	0.132658	0.107457	0.150293	
49921.000000	0.000000	0.000000	0.167520	0.135697	0.189790	
50077.000000	0.000850	0.000850	0.130740	0.106026	0.000000	
50089.000000	0.000000	0.000000	0.000000	0.119487	0.049205	
51708.000000	0.009623	0.009623	0.009623	0.047069	0.019383	
51765.000000	0.000000	0.000000	0.000000	0.097713	0.040239	
51769.000000	0.000054	0.000054	0.000000	0.054981	0.022642	
51773.000000	0.000000	0.000000	0.000000	0.194636	0.000000	
51776.000000	0.014994	0.014994	0.000000	0.054779	0.014994	
54017.000000	0.000000	0.000000	0.000000	0.191726	0.000000	
54341.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
54380.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
54487.000000	0.000495	0.000495	0.003147	0.000000	0.048488	
54571.000000	0.000000	0.000000	0.007099	0.000000	0.109390	
54937.000000	0.004328	0.004328	0.000000	0.000000	0.093471	
54952.000000	0.000000	0.000000	0.000000	0.110929	0.124808	
55097.000000	0.001022	0.001022	0.000000	0.042445	0.047755	
55128.000000	0.000000	0.000000	0.000000	0.095410	0.107348	
56327.000000	0.013749	0.013749	0.000000	0.053171	0.059824	
57019.000000	0.000000	0.000000	0.000000	0.085441	0.096131	
57836.000000	0.006259	0.006259	0.000000	0.055280	0.062197	
57847.000000	0.000000	0.000000	0.006874	0.065714	0.073936	
58601.000000	0.005000	0.005000	0.000000	0.048498	0.054566	
58650.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
58703.000000	0.000010	0.000010	0.000000	0.164522	0.000000	
58704.000000	0.000000	0.000000	0.004128	0.166571	0.169170	
58713.000000	0.000056	0.000056	0.001666	0.067253	0.068302	
58718.000000	0.000000	0.000000	0.003918	0.158132	0.160599	
59102.000000	0.002754	0.002754	0.000000	0.118600	0.120450	
59105.000000	0.000000	0.000000	0.004430	0.158093	0.160559	
59324.000000	0.001246	0.001246	0.002376	0.084786	0.086108	
59350.000000	0.000000	0.000000	0.000000	0.177305	0.180071	
