bp	data_stats...col_RsbN...k.
26202	4.588351
26204	4.277422
26213	4.277422
118339	3.489196
118357	3.506598
293020	3.269484
293057	3.76229
325085	3.721411
325114	3.721411
333228	4.047185
392152	4.964418
392156	4.706136
403378	3.272572
403424	3.272572
439563	3.228903
439569	3.228903
439599	3.228903
454119	5.364173
454120	5.42086
454374	4.916805
454376	4.916805
519277	4.204646
519298	4.204646
604417	3.969391
604446	3.778137
631361	4.213338
631366	4.213338
638397	3.127723
638422	3.818041
680471	3.60095
680507	3.363642
696623	3.34393
696645	3.34393
710633	3.400553
710654	3.137847
733644	3.768254
733687	3.167293
737418	3.398826
737451	3.898209
737725	3.036072
737780	3.788768
761659	3.589527
761773	3.310585
956819	3.927114
956843	3.404693
1043251	3.651788
1043266	3.60709
1068964	3.333727
1068987	3.333727
1071338	3.469137
1071359	3.744196
1079157	3.208915
1081891	3.10058
1081928	3.10058
1082046	4.019696
1082056	3.962503
1082308	4.110402
1082316	4.167018
1085282	3.134074
1085323	3.155928
1088266	3.008478
1088317	3.008478
1090995	3.777107
1091000	3.777107
1091012	3.777107
1103482	3.574214
1103484	3.577383
1103503	3.152469
1186902	3.060698
1281739	3.044311
1671836	3.066289
1687290	3.423392
1687431	3.117085
1687754	3.195202
1687899	3.035559
1687916	3.195202
1800072	3.525098
1800102	3.640734
1822006	3.750449
1822010	3.750449
1826982	3.111566
1827007	3.111046
1827019	2.998655
1827181	4.418424
1827185	4.418424
