bp	data_stats...col_RsbN...k.
86483	5.200684
86489	5.200684
136243	3.101341
161889	3.130859
161917	3.30936
285865	4.236381
293493	3.08799
325343	4.240975
325355	3.443085
326271	3.657712
326279	3.709803
331532	3.376141
392152	5.100118
392156	5.100118
400898	3.275745
400958	3.275745
402958	3.050626
403025	3.050626
403378	3.241501
403424	3.299246
439563	3.685744
439569	3.685744
439599	3.685744
454374	4.619467
454376	4.619467
498024	3.904667
498066	3.904667
498359	3.483361
498364	3.483361
498380	3.542047
498413	3.542047
498430	3.542047
504638	3.096581
504758	3.155586
519277	4.246613
519298	4.291193
631361	4.368598
631366	4.368598
643360	3.244267
643403	3.244267
644630	3.862428
644648	3.502104
656972	3.057057
657098	3.115671
680471	4.121592
680507	3.862687
680749	3.200853
680762	3.128488
680783	3.200853
680891	3.200853
686932	4.644974
686944	4.644974
686951	4.644974
687363	3.117449
687434	3.117449
687472	3.117449
694195	3.548805
694210	3.548805
694252	3.544736
753315	3.454473
753496	3.397161
801983	4.428191
802027	4.487628
802991	4.177151
803006	4.117389
803063	4.177151
1185174	3.090974
1185750	3.111712
1186837	3.476104
1186902	3.935404
1198977	3.767449
1199025	4.003651
1254106	3.271227
1254174	3.263395
1446487	3.062192
1447507	3.921631
1447527	4.078552
1449936	3.124483
1449975	3.591478
1772365	3.496763
1772437	3.329949
1919495	4.65296
1919497	4.65296
1931788	3.299151
1936378	3.022909
1937461	3.62708
1937481	3.62708
1940320	5.139723
1940321	5.139723
1940324	5.139723
1960943	5.765016
1960946	6.114465
1984913	4.106367
1984916	4.106367
1984926	4.765332
2033770	3.016267
2033803	3.016267
2033885	3.011591
2044072	3.098801
2044079	3.333628
2044173	3.333628
2057522	4.049451
