bp	data_stats...col_RsbN...k.
89357	3.879248
89537	3.680955
90893	3.469016
90942	3.524007
91406	3.635118
91461	3.744471
91748	3.73486
91939	4.128867
96771	3.365901
97024	3.555614
109732	3.138716
148308	3.748264
148356	3.735171
148357	3.850293
148425	3.739715
148800	3.45514
148814	3.458562
149151	3.457606
149257	3.560109
149277	3.453916
149284	3.453916
149360	3.455631
149539	3.407248
149544	3.519352
149575	3.441157
149590	3.441157
149632	3.971595
149635	3.971595
160114	3.158173
182705	3.08329
285875	7.012319
462485	-3.385097
462538	-3.691443
604446	-3.235465
642291	3.066312
642567	3.061862
642812	3.255098
642814	3.255098
642823	3.255098
642883	3.682415
644648	3.721822
1248473	3.552113
1250798	3.189741
1253979	3.234109
1276962	3.482284
1286790	3.675591
1286844	3.630639
1286919	3.584237
1287073	3.691055
1287114	4.316751
1287170	4.316751
1287208	3.023988
1287332	3.804836
1287343	3.466045
1287451	3.855681
1287505	3.855681
1287524	3.720685
1287723	3.403254
1302638	3.153772
1302681	3.955146
1302699	3.900299
1302901	3.789378
1303093	3.567771
1303128	3.344375
1303230	3.004816
1303253	3.37015
1324826	8.010472
1329342	3.155444
1329370	3.483553
1331983	3.200163
1332901	3.681815
1335501	3.047106
1338406	3.556794
1722390	-3.012922
1724687	-3.296112
1724971	-3.139128
1725391	-3.326138
1725497	-3.556691
1725575	-3.27819
1725799	-3.119126
1725843	-3.119126
1725865	-3.316875
1726072	-3.316875
1726172	-3.341166
1726193	-3.021467
1726201	-3.117649
1726517	-3.244794
1726606	-3.3275
1726610	-3.224313
1726636	-3.233562
1726801	-3.166206
1726804	-3.095819
1726945	-3.06438
1727080	-3.543784
1727084	-3.186738
1727098	-3.219403
1735358	-3.148674
1735409	-3.058654
1743952	-3.100558
1744749	-3.71088
1824891	3.097292
1824942	3.001675
1824965	3.103297
1824976	6.571106
