Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	Rsbk[5]	Rsbk[6]	Rsbk[7]	Rsbk[8]	Rsbk[9]	
13233.000000	0.117743	0.046167	0.046167	0.135616	0.115517	0.042518	0.042434	0.000000	0.042518	0.042518	
13621.000000	0.117743	0.046167	0.046167	0.135616	0.115517	0.042518	0.042434	0.000000	0.042518	0.042518	
18007.000000	0.105969	0.041550	0.041550	0.122054	0.103965	0.038266	0.038191	0.017621	0.038266	0.038266	
18008.000000	0.117743	0.046167	0.046167	0.135616	0.115517	0.042518	0.000000	0.019579	0.042518	0.042518	
18026.000000	0.169156	0.066325	0.066325	0.194833	0.165957	0.000000	0.108072	0.000000	0.000000	0.000000	
18370.000000	0.106331	0.041692	0.041692	0.131850	0.104320	0.152008	0.067934	0.033273	0.066481	0.033273	
18485.000000	0.116004	0.000000	0.000000	0.143844	0.113810	0.165836	0.074113	0.036299	0.072529	0.036299	
26202.000000	0.128913	0.832898	0.044231	0.159852	0.126475	0.184436	0.082361	0.000000	0.080600	0.000000	
26204.000000	0.122755	0.793114	0.042118	0.152216	0.120434	0.175627	0.078427	0.000000	0.076750	0.002576	
26213.000000	0.122755	0.793114	0.042118	0.152216	0.120434	0.175627	0.078427	0.000000	0.076750	0.002576	
26248.000000	0.061383	0.396589	0.021061	0.076114	0.000000	0.087820	0.039217	0.001161	0.038378	0.001288	
26714.000000	0.000000	0.576151	0.030597	0.110576	0.407727	0.127582	0.000000	0.000000	0.000000	0.000000	
26730.000000	0.000921	0.229784	0.012203	0.044101	0.162612	0.050883	0.000052	0.000921	0.000921	0.000052	
26753.000000	0.001013	0.252914	0.013431	0.048540	0.178981	0.056005	0.000000	0.001013	0.001013	0.000000	
27025.000000	0.001247	0.311179	0.000000	0.059722	0.220214	0.068907	0.000000	0.001247	0.001247	0.000000	
27105.000000	0.000000	0.404663	0.000000	0.077664	0.286369	0.089608	0.003224	0.000000	0.000000	0.000000	
28389.000000	0.009600	0.257511	0.002184	0.049422	0.182234	0.057023	0.000000	0.005757	0.005757	0.002184	
28423.000000	0.008640	0.231760	0.001966	0.044480	0.164010	0.051321	0.000181	0.005181	0.005181	0.001966	
28449.000000	0.008292	0.222413	0.001886	0.042686	0.157396	0.049251	0.000174	0.004972	0.004972	0.001886	
28467.000000	0.008743	0.234531	0.001989	0.045012	0.165971	0.051934	0.000184	0.005243	0.005243	0.001989	
28479.000000	0.011673	0.313123	0.000000	0.060095	0.221589	0.069338	0.000000	0.007000	0.007000	0.000000	
