bp	data_stats...col_RsbN...k.
26202	4.347146
26204	4.274429
26213	4.274429
118339	3.476637
118357	3.476637
136259	3.002875
136307	3.319863
149575	3.06504
149590	3.06504
149623	3.136182
149632	3.136337
149635	3.21958
285865	3.539119
285875	3.319395
325085	3.187231
325114	3.187231
333208	3.233718
333228	3.235699
392152	4.108461
392156	4.108461
454119	4.620629
454120	4.620629
454374	4.233594
454376	4.233594
519277	3.20413
519298	3.327119
631361	4.417068
631366	4.563869
638397	3.185338
638422	3.616683
644630	3.410078
644648	3.547831
680507	3.009242
956819	4.1252
956843	4.059617
976299	3.152276
976330	3.221885
976417	3.211078
1043251	3.977915
1043266	3.977915
1068964	3.182897
1068987	3.308023
1071338	3.374253
1071359	3.45898
1079123	3.110746
1079157	3.035495
1082046	3.855949
1082056	3.638127
1082308	3.778582
1082316	3.995679
1090995	3.052167
1091000	3.052167
1091012	3.052167
1281739	2.997161
1817344	3.212502
1817350	3.277856
1822006	3.712747
1822010	3.712747
1827181	3.7895
1827185	3.723695
2004648	3.588777
2004673	3.739455
2033770	3.004964
2033803	3.098502
2044072	3.02603
2044079	3.205646
2044173	3.109561
2057496	3.701745
2057500	3.636372
2057522	3.755704
