Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	Rsbk[5]	Rsbk[6]	Rsbk[7]	Rsbk[8]	Rsbk[9]	
13233.000000	0.108008	0.042349	0.042349	0.124403	0.105965	0.039003	0.038925	0.000000	0.039003	0.039003	
13621.000000	0.108008	0.042349	0.042349	0.124403	0.105965	0.039003	0.038925	0.000000	0.039003	0.039003	
18007.000000	0.097207	0.038115	0.038115	0.111963	0.095369	0.035102	0.035033	0.016164	0.035102	0.035102	
18008.000000	0.108008	0.042349	0.042349	0.124403	0.105965	0.039003	0.000000	0.017961	0.039003	0.039003	
18026.000000	0.162011	0.063524	0.063524	0.186604	0.158948	0.000000	0.103507	0.000000	0.000000	0.000000	
18370.000000	0.097207	0.038115	0.038115	0.120536	0.095369	0.138964	0.062104	0.030418	0.060776	0.030418	
18485.000000	0.115037	0.000000	0.000000	0.142645	0.112862	0.164453	0.073496	0.035997	0.071924	0.035997	
26202.000000	0.085612	0.553132	0.029374	0.106158	0.083993	0.122485	0.054696	0.000000	0.053527	0.000000	
26204.000000	0.121978	0.788095	0.041852	0.151253	0.119672	0.174515	0.077931	0.000000	0.076264	0.002560	
26213.000000	0.121978	0.788095	0.041852	0.151253	0.119672	0.174515	0.077931	0.000000	0.076264	0.002560	
26248.000000	0.072707	0.469755	0.024946	0.090157	0.000000	0.104022	0.046452	0.001375	0.045458	0.001526	
26714.000000	0.000000	0.473191	0.025129	0.090816	0.334865	0.104783	0.000000	0.000000	0.000000	0.000000	
26730.000000	0.000972	0.242513	0.012879	0.046544	0.171620	0.053702	0.000055	0.000972	0.000972	0.000055	
26753.000000	0.001128	0.281461	0.014947	0.054019	0.199182	0.062326	0.000000	0.001128	0.001128	0.000000	
27025.000000	0.001200	0.299540	0.000000	0.057488	0.211977	0.066330	0.000000	0.001200	0.001200	0.000000	
27105.000000	0.000000	0.419356	0.000000	0.080484	0.296768	0.092862	0.003341	0.000000	0.000000	0.000000	
28389.000000	0.010354	0.277720	0.002356	0.053301	0.196535	0.061498	0.000000	0.006209	0.006209	0.002356	
28423.000000	0.009318	0.249948	0.002120	0.047971	0.176882	0.055348	0.000196	0.005588	0.005588	0.002120	
28449.000000	0.009318	0.249948	0.002120	0.047971	0.176882	0.055348	0.000196	0.005588	0.005588	0.002120	
28467.000000	0.009318	0.249948	0.002120	0.047971	0.176882	0.055348	0.000196	0.005588	0.005588	0.002120	
28479.000000	0.012224	0.327893	0.000000	0.062930	0.232041	0.072608	0.000000	0.007330	0.007330	0.000000	
28492.000000	0.009265	0.248518	0.003412	0.047696	0.175870	0.055032	0.003412	0.005556	0.005556	0.003412	
30829.000000	0.023162	0.621294	0.000000	0.000000	0.439674	0.136331	0.000000	0.000000	0.000000	0.000000	
31047.000000	0.000000	0.497036	0.003711	0.210252	0.351739	0.109065	0.000000	0.000000	0.000000	0.000000	
