Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	
13233.000000	0.010157	0.010157	0.000000	0.135131	0.793508	
13621.000000	0.000000	0.000000	0.000000	0.270262	1.587016	
18007.000000	0.153124	0.153124	0.000000	0.000000	1.058010	
18008.000000	0.000000	0.000000	0.000000	0.000000	3.174031	
18026.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
18370.000000	0.000000	0.000000	0.000000	0.000000	1.512726	
18485.000000	0.078171	0.078171	0.186037	0.160765	0.302545	
26202.000000	0.000000	0.000000	0.310061	0.267941	0.504242	
26204.000000	0.000110	0.000110	0.186037	0.160765	0.302545	
26213.000000	0.000000	0.000000	0.310061	0.267941	0.504242	
26248.000000	0.005000	0.005000	0.186037	0.160765	0.302545	
26714.000000	0.000000	0.000000	0.465091	0.000000	0.756363	
26730.000000	0.000487	0.000487	0.232546	0.000000	0.378181	
26753.000000	0.000000	0.000000	0.310061	0.054813	0.504242	
27025.000000	0.003513	0.003513	0.186037	0.032888	0.302545	
27105.000000	0.000000	0.000000	0.310061	0.054813	0.504242	
28389.000000	0.016020	0.016020	0.000000	0.041109	0.378181	
28423.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
28449.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
28467.000000	0.000000	0.000000	0.050282	0.050456	0.000000	
28479.000000	0.000097	0.000097	0.020267	0.020337	0.023916	
28492.000000	0.000000	0.000000	0.033779	0.033895	0.039860	
30829.000000	0.009875	0.009875	0.020267	0.020337	0.023916	
31047.000000	0.000000	0.000000	0.033779	0.033895	0.039860	
31060.000000	0.000205	0.000205	0.020267	0.020337	0.023916	
31100.000000	0.000000	0.000000	0.000000	0.000000	0.119348	
31516.000000	0.002251	0.002251	0.000000	0.002503	0.029837	
31566.000000	0.000000	0.000000	0.000000	0.005005	0.059674	
31567.000000	0.000005	0.000005	0.000000	0.002503	0.029837	
31569.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
31585.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35348.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35349.000000	0.011195	0.011195	0.000000	0.000000	0.187730	
37087.000000	0.000000	0.000000	0.000000	0.018049	0.281595	
37092.000000	0.000035	0.000035	0.000209	0.007220	0.112638	
37096.000000	0.000000	0.000000	0.000348	0.012033	0.187730	
37137.000000	0.000343	0.000343	0.000000	0.009025	0.140798	
37167.000000	0.000000	0.000000	0.249768	0.000000	0.283103	
49918.000000	0.049293	0.049293	0.099954	0.080965	0.113241	
49921.000000	0.000000	0.000000	0.166589	0.134942	0.188735	
50077.000000	0.000812	0.000812	0.124797	0.101207	0.000000	
50089.000000	0.000000	0.000000	0.000000	0.079211	0.032620	
51708.000000	0.006478	0.006478	0.006478	0.031684	0.013048	
51765.000000	0.000000	0.000000	0.000000	0.079211	0.032620	
51769.000000	0.000039	0.000039	0.000000	0.039605	0.016310	
51773.000000	0.000000	0.000000	0.000000	0.158422	0.000000	
51776.000000	0.010841	0.010841	0.000000	0.039605	0.010841	
54017.000000	0.000000	0.000000	0.000000	0.158422	0.000000	
54341.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
54380.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
54487.000000	0.017213	0.017213	0.109426	0.000000	1.686066	
54571.000000	0.000000	0.000000	0.218852	0.000000	3.372131	
54937.000000	0.104098	0.104098	0.000000	0.000000	2.248087	
54952.000000	0.000000	0.000000	0.000000	2.997131	3.372131	
55097.000000	0.036066	0.036066	0.000000	1.498566	1.686066	
55128.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
56327.000000	0.099484	0.099484	0.000000	0.384733	0.432870	
57019.000000	0.000000	0.000000	0.000000	0.769465	0.865741	
57836.000000	0.043561	0.043561	0.000000	0.384733	0.432870	
57847.000000	0.000000	0.000000	0.053662	0.512977	0.577160	
58601.000000	0.039668	0.039668	0.000000	0.384733	0.432870	
58650.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
58703.000000	0.000070	0.000070	0.000000	1.155303	0.000000	
58704.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
58713.000000	0.002291	0.002291	0.067594	2.727823	2.770376	
58718.000000	0.000000	0.000000	0.112657	4.546372	4.617294	
59102.000000	0.079173	0.079173	0.000000	3.409779	3.462971	
59105.000000	0.000000	0.000000	0.127387	4.546372	4.617294	
59324.000000	0.040098	0.040098	0.076432	2.727823	2.770376	
59350.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
66868.000000	2.824719	2.824719	2.824719	6.242322	6.339700	
66892.000000	0.000000	0.000000	0.000000	15.605805	15.849251	
66930.000000	0.017228	0.017228	0.017228	6.242322	6.339700	
66938.000000	0.000000	0.000000	0.000000	15.605805	15.849251	
67135.000000	0.102060	0.102060	4.014513	0.000000	9.286517	
67156.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
67167.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
70077.000000	0.000000	0.000000	0.125404	0.087998	0.000000	
70093.000000	0.001063	0.001063	0.062859	0.000000	0.053152	
70219.000000	0.000000	0.000000	0.083812	0.125614	0.087584	
70257.000000	0.006616	0.006616	0.050287	0.075368	0.052551	
71324.000000	0.000000	0.000000	0.083812	0.125614	0.087584	
71345.000000	0.000801	0.000801	0.000000	0.094210	0.065568	
71431.000000	0.000000	0.000000	0.101505	0.125823	0.087425	
73636.000000	0.023231	0.023231	0.060903	0.075494	0.052455	
75311.000000	0.000000	0.000000	0.152257	0.186849	0.000000	
75324.000000	0.006820	0.006820	0.060903	0.074740	0.013849	
76450.000000	0.000000	0.000000	0.101505	0.124566	0.023081	
76471.000000	0.000180	0.000180	0.075485	0.000000	0.017311	
76474.000000	0.000000	0.000000	0.100647	0.000030	0.023081	
85623.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
86000.000000	0.000000	0.000000	0.023321	0.000000	0.007110	
86475.000000	0.003615	0.003615	0.011660	0.003720	0.000000	
86483.000000	0.000000	0.000000	0.015547	0.004959	0.002185	
86489.000000	0.001534	0.001534	0.011660	0.000000	0.001639	
86688.000000	0.000000	0.000000	0.046641	0.000000	0.000000	
86779.000000	0.003838	0.003838	0.012621	0.003838	0.007131	
87329.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
87756.000000	0.039336	0.039336	2.923077	0.039336	0.000000	
87801.000000	0.000000	0.000000	5.846154	0.000000	4.587413	
87899.000000	0.523601	0.523601	2.923077	0.000000	2.293706	
88400.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
88599.000000	0.008105	0.008105	0.122088	0.067798	0.095801	
88622.000000	0.000000	0.000000	0.203481	0.112997	0.159669	
88645.000000	0.010150	0.010150	0.122088	0.067798	0.095801	
88900.000000	0.000000	0.000000	0.203481	0.112997	0.159669	
89013.000000	0.009785	0.009785	0.122088	0.067798	0.095801	
89168.000000	0.000000	0.000000	0.305221	0.169496	0.000000	
89357.000000	0.009493	0.009493	0.125411	0.071121	0.020044	
89428.000000	0.000000	0.000000	0.209018	0.118535	0.033406	
89519.000000	0.006633	0.006633	0.000000	0.000000	0.021906	
89537.000000	0.000000	0.000000	0.000000	0.161190	0.112632	
90411.000000	0.060606	0.060606	0.081325	0.100493	0.000000	
90865.000000	0.000000	0.000000	0.085433	0.000000	0.046550	
90893.000000	0.001704	0.001704	0.000000	0.000000	0.003408	
90942.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
91321.000000	0.000776	0.000776	0.025831	0.000000	0.010268	
91338.000000	0.000000	0.000000	0.051661	0.000000	0.020537	
91406.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
91461.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
91604.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
91748.000000	0.000000	0.000000	0.000000	0.480538	0.421918	
91937.000000	0.017702	0.017702	0.088508	0.192215	0.168767	
91939.000000	0.000000	0.000000	0.147513	0.320358	0.281279	
91948.000000	0.003614	0.003614	0.088508	0.192215	0.168767	
91978.000000	0.000000	0.000000	0.147513	0.320358	0.281279	
91984.000000	0.007044	0.007044	0.088508	0.192215	0.168767	
92054.000000	0.000000	0.000000	0.147513	0.320358	0.281279	
92104.000000	0.013253	0.013253	0.088508	0.192215	0.168767	
92197.000000	0.000000	0.000000	0.147513	0.320358	0.281279	
92443.000000	0.028499	0.028499	0.000000	0.240269	0.210959	
92531.000000	0.000000	0.000000	0.542169	0.000000	0.000000	
92827.000000	0.067771	0.067771	0.147243	0.124652	0.000000	
93116.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
93217.000000	0.335417	0.335417	0.000000	1.750000	2.622917	
93277.000000	0.000000	0.000000	2.950000	0.000000	4.041667	
93465.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
93601.000000	0.000000	0.000000	0.103216	0.507212	0.128752	
93952.000000	0.166667	0.166667	0.000000	0.488889	0.000000	
95311.000000	0.000000	0.000000	0.000000	1.466667	0.000000	
95388.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
95431.000000	0.000000	0.000000	0.204852	0.808162	0.000000	
95724.000000	0.034833	0.034833	0.081941	0.323265	0.051735	
95973.000000	0.000000	0.000000	0.136568	0.538775	0.086225	
95987.000000	0.001500	0.001500	0.128320	0.000000	0.000000	
96766.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
96771.000000	0.010122	0.010122	0.022815	0.021530	0.000000	
96897.000000	0.000000	0.000000	0.030420	0.028706	0.015210	
96913.000000	0.001714	0.001714	0.030420	0.000000	0.000000	
96987.000000	0.000000	0.000000	0.000000	0.199550	0.041131	
97024.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
97206.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
97239.000000	0.009214	0.009214	0.195935	0.336585	0.182927	
97240.000000	0.000000	0.000000	0.326558	0.560976	0.304878	
