Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	Rsbk[5]	Rsbk[6]	Rsbk[7]	Rsbk[8]	Rsbk[9]	
13233.000000	0.286549	0.112355	0.112355	0.330046	0.281130	0.103476	0.103270	0.000000	0.103476	0.103476	
13621.000000	0.286549	0.112355	0.112355	0.330046	0.281130	0.103476	0.103270	0.000000	0.103476	0.103476	
18007.000000	0.257894	0.101119	0.101119	0.297041	0.253017	0.093128	0.092943	0.042885	0.093128	0.093128	
18008.000000	0.286549	0.112355	0.112355	0.330046	0.281130	0.103476	0.000000	0.047650	0.103476	0.103476	
18026.000000	0.429823	0.168532	0.168532	0.495068	0.421696	0.000000	0.274609	0.000000	0.000000	0.000000	
18370.000000	0.257894	0.101119	0.101119	0.319788	0.253017	0.368678	0.164765	0.080699	0.161242	0.080699	
18485.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
26202.000000	150.545455	743.835227	51.653409	186.676136	147.698864	215.386364	96.181818	0.000000	94.125000	0.000000	
26204.000000	133.818182	661.186869	45.914141	165.934343	131.287879	191.454545	85.494949	0.000000	83.666667	2.808081	
26213.000000	133.818182	661.186869	45.914141	165.934343	131.287879	191.454545	85.494949	0.000000	83.666667	2.808081	
26248.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
26714.000000	0.000000	0.214309	0.014882	0.053784	0.198317	0.062056	0.000000	0.000000	0.000000	0.000000	
26730.000000	0.000561	0.107155	0.007441	0.026892	0.099159	0.031028	0.000032	0.000561	0.000561	0.000032	
26753.000000	0.000702	0.133943	0.009301	0.033615	0.123948	0.038785	0.000000	0.000702	0.000702	0.000000	
27025.000000	0.000802	0.153078	0.000000	0.038417	0.141655	0.044326	0.000000	0.000802	0.000802	0.000000	
27105.000000	0.000000	0.214309	0.000000	0.053784	0.198317	0.062056	0.002233	0.000000	0.000000	0.000000	
28389.000000	0.005804	0.119061	0.001321	0.029880	0.110176	0.034475	0.000000	0.003480	0.003480	0.001321	
28423.000000	0.005224	0.107155	0.001188	0.026892	0.099159	0.031028	0.000110	0.003132	0.003132	0.001188	
28449.000000	0.005224	0.107155	0.001188	0.026892	0.099159	0.031028	0.000110	0.003132	0.003132	0.001188	
28467.000000	0.005224	0.107155	0.001188	0.026892	0.099159	0.031028	0.000110	0.003132	0.003132	0.001188	
28479.000000	0.007462	0.153078	0.000000	0.038417	0.141655	0.044326	0.000000	0.004475	0.004475	0.000000	
28492.000000	0.005224	0.107155	0.001923	0.026892	0.099159	0.031028	0.001923	0.003132	0.003132	0.001923	
30829.000000	0.013059	0.267886	0.000000	0.000000	0.247896	0.076866	0.000000	0.000000	0.000000	0.000000	
31047.000000	0.000000	0.214309	0.002092	0.118544	0.198317	0.061493	0.000000	0.000000	0.000000	0.000000	
31060.000000	0.001071	0.133943	0.001308	0.074090	0.123948	0.038433	0.000000	0.000000	0.001071	0.004938	
31100.000000	0.001071	0.133943	0.001308	0.074090	0.123948	0.038433	0.000000	0.000000	0.001071	0.004938	
31516.000000	0.000857	0.107155	0.001046	0.059272	0.099159	0.030746	0.006614	0.006614	0.000857	0.003950	
31566.000000	0.000857	0.107155	0.001046	0.059272	0.099159	0.030746	0.006614	0.006614	0.000857	0.003950	
31567.000000	0.000857	0.107155	0.001046	0.059272	0.099159	0.030746	0.006614	0.006614	0.000857	0.003950	
31569.000000	0.000857	0.107155	0.001046	0.059272	0.099159	0.030746	0.006614	0.006614	0.000857	0.003950	
31585.000000	0.000000	0.153078	0.000000	0.084674	0.141655	0.043923	0.009449	0.009449	0.000000	0.005643	
35348.000000	0.018327	0.119061	0.006704	0.065858	0.110176	0.034163	0.007349	0.007349	0.018327	0.000000	
35349.000000	0.020618	0.133943	0.007541	0.074090	0.123948	0.038433	0.000000	0.000000	0.020618	0.001779	
37087.000000	0.018327	0.119061	0.006704	0.065858	0.110176	0.034163	0.013323	0.013323	0.018327	0.000000	
37092.000000	0.018327	0.119061	0.006704	0.065858	0.110176	0.034163	0.013323	0.013323	0.018327	0.000000	
37096.000000	0.018327	0.119061	0.006704	0.065858	0.110176	0.034163	0.013323	0.013323	0.018327	0.000000	
37137.000000	0.016495	0.107155	0.006033	0.059272	0.099159	0.030746	0.011990	0.011990	0.016495	0.000058	
37167.000000	0.023564	0.144054	0.000000	0.084674	0.141655	0.000000	0.017129	0.017129	0.023564	0.000000	
49918.000000	0.000000	0.201676	0.021139	0.118544	0.198317	0.035418	0.000000	0.000000	0.000000	0.000000	
49921.000000	0.008384	0.112042	0.011744	0.065858	0.110176	0.019677	0.000145	0.000000	0.008384	0.000145	
50077.000000	0.010780	0.144054	0.000000	0.084674	0.141655	0.025299	0.000000	0.009775	0.010780	0.000000	
50089.000000	0.007546	0.100838	0.004606	0.059272	0.099159	0.017709	0.007122	0.006843	0.007546	0.004606	
51708.000000	0.007546	0.100838	0.004606	0.059272	0.099159	0.017709	0.007122	0.006843	0.007546	0.004606	
51765.000000	0.007546	0.100838	0.004606	0.059272	0.099159	0.017709	0.007122	0.006843	0.007546	0.004606	
51769.000000	0.007546	0.100838	0.004606	0.059272	0.099159	0.017709	0.007122	0.006843	0.007546	0.004606	
51773.000000	0.007546	0.100838	0.004606	0.059272	0.099159	0.017709	0.007122	0.006843	0.007546	0.004606	
51776.000000	0.007546	0.100838	0.004606	0.059272	0.099159	0.017709	0.007122	0.006843	0.007546	0.004606	
54017.000000	0.009432	0.126048	0.000000	0.074090	0.123948	0.022136	0.008902	0.008553	0.009432	0.000000	
54341.000000	0.008384	0.112042	0.000330	0.065858	0.110176	0.019677	0.007913	0.000000	0.008384	0.000330	
