Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	
88645.000000	0.000000	0.556871	0.000000	0.000000	0.068454	
88900.000000	0.001842	0.242812	0.001842	0.026194	0.029848	
89168.000000	0.001997	0.263267	0.001997	0.028401	0.032362	
89428.000000	0.000000	0.400607	0.000000	0.043217	0.049245	
89519.000000	0.001462	0.238763	0.001462	0.025757	0.029350	
90411.000000	0.000000	0.430202	0.000000	0.046409	0.052883	
91321.000000	0.000000	0.535486	0.000000	0.057767	0.065825	
91948.000000	0.000123	0.402714	0.000000	0.043444	0.049504	
91978.000000	0.000000	0.465896	0.000000	0.050260	0.057271	
95973.000000	0.000000	0.466621	0.000000	0.050338	0.057360	
96913.000000	0.003217	0.458485	0.001944	0.049460	0.056360	
97206.000000	0.000000	0.764141	0.000000	0.082434	0.093933	
97610.000000	0.007560	0.433154	0.010294	0.007560	0.007560	
111200.000000	0.000000	0.049401	0.000000	0.131559	0.128159	
131597.000000	0.000000	0.147528	0.000000	0.114827	0.033226	
136154.000000	0.000000	0.206479	0.000000	0.062335	0.000000	
146277.000000	0.000000	0.409747	0.000000	0.154173	0.000000	
148754.000000	0.000000	0.432407	0.000000	0.162699	0.000000	
149623.000000	0.000486	0.222550	0.000527	0.083737	0.000000	
153465.000000	0.000000	0.482285	0.000000	0.014651	0.000000	
153927.000000	0.012013	0.241767	0.012013	0.040502	0.000000	
153977.000000	0.014080	0.283355	0.014080	0.047470	0.000000	
155623.000000	0.000000	0.388856	0.000000	0.065144	0.000000	
159357.000000	0.001336	0.252182	0.001145	0.042247	0.000000	
160086.000000	0.000000	0.510560	0.000000	0.032221	0.000000	
160101.000000	0.000000	0.510676	0.000000	0.032228	0.000000	
160396.000000	0.000000	0.395467	0.000000	0.024958	0.000000	
163085.000000	0.002514	0.595684	0.002514	0.000000	0.033207	
173462.000000	0.008651	0.652703	0.000000	0.051190	0.000000	
182415.000000	0.000000	0.059538	0.000000	0.100629	0.000000	
182705.000000	0.000000	0.000000	0.000000	0.077810	0.000000	
183050.000000	0.001252	0.002580	0.000890	0.018874	0.000000	
183533.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
195136.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
197087.000000	0.000986	0.000000	0.003698	0.051267	0.000000	
203193.000000	0.003645	0.000000	0.003645	0.065234	0.000000	
204762.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
218200.000000	0.013077	0.000000	0.012978	0.012630	0.000000	
221242.000000	0.009996	0.000000	0.000000	0.064633	0.000000	
225651.000000	0.000877	0.000000	0.000877	0.040426	0.000000	
227307.000000	0.004586	0.000000	0.004586	0.074615	0.000000	
230727.000000	0.002376	0.000000	0.001291	0.069289	0.000000	
233024.000000	0.000489	0.000000	0.000489	0.058809	0.015118	
234450.000000	0.009696	0.000000	0.009696	0.073480	0.000000	
235121.000000	0.000000	0.004047	0.000000	0.000000	0.000000	
236787.000000	0.004104	0.000000	0.018040	0.083811	0.000000	
241235.000000	0.001597	0.000000	0.001597	0.052011	0.000000	
246782.000000	0.000082	0.000000	0.000082	0.024453	0.000000	
250316.000000	0.004308	0.000000	0.004308	0.005999	0.000000	
268323.000000	0.040477	0.000000	0.006741	0.138188	0.000000	
271849.000000	0.001249	0.000000	0.001249	0.029959	0.008139	
275724.000000	0.000571	0.000000	0.000571	0.004223	0.000000	
279528.000000	0.005206	0.000000	0.004824	0.008529	0.005690	
280257.000000	0.000417	0.000000	0.000417	0.000000	0.001513	
281979.000000	0.000000	0.003431	0.000000	0.011890	0.008180	
285840.000000	0.000000	0.003841	0.000000	0.013179	0.000000	
285882.000000	0.000000	0.004821	0.000000	0.016542	0.000000	
285900.000000	0.000350	0.002128	0.000218	0.007301	0.000000	
292782.000000	0.001911	0.000000	0.001294	0.001841	0.015574	
325322.000000	0.004270	0.000000	0.004270	0.000898	0.011983	
331996.000000	0.001013	0.000000	0.001013	0.000215	0.010737	
333191.000000	0.001026	0.000000	0.001373	0.000000	0.014319	
333228.000000	0.005391	0.001527	0.007216	0.000000	0.075265	
349504.000000	0.000000	0.103408	0.000000	0.000000	0.018248	
359001.000000	0.004651	0.000000	0.004651	0.000000	0.039042	
364583.000000	0.004293	0.000000	0.004293	0.006519	0.038935	
396336.000000	0.003094	0.043241	0.003094	0.070816	0.106408	
408671.000000	0.000000	0.000000	0.013113	0.021464	0.000000	
437386.000000	0.000000	0.000000	0.002527	0.006909	0.000000	
454040.000000	0.000000	0.000000	0.000942	0.000157	0.000000	
513331.000000	0.000000	0.000000	0.002421	0.080301	0.073915	
526913.000000	0.000000	0.000000	0.000859	0.000000	0.000000	
538253.000000	0.019504	0.006264	0.000000	0.019532	0.015030	
567272.000000	0.055242	0.004675	0.000000	0.021130	0.033683	
569662.000000	0.061553	0.000000	0.003599	0.029169	0.037531	
587203.000000	0.170530	0.080718	0.000000	0.080920	0.023263	
597359.000000	0.044806	0.092547	0.000000	0.018869	0.050069	
604417.000000	0.000000	0.010805	0.000000	0.000000	0.000000	
604817.000000	0.000000	0.000000	0.000000	0.000000	0.505230	
610918.000000	0.000000	0.174026	0.000000	0.000000	0.263555	
611295.000000	0.000000	0.174026	0.000000	0.000000	0.263555	
611449.000000	0.000000	0.198074	0.000000	0.000000	0.299976	
611869.000000	0.000000	0.136485	0.000000	0.002082	0.206701	
611977.000000	0.000000	0.204727	0.000000	0.000000	0.310051	
612128.000000	0.010289	0.102363	0.000000	0.010289	0.155026	
614752.000000	0.000000	0.204727	0.000000	0.000000	0.310051	
614913.000000	0.000000	0.136485	0.006074	0.000000	0.206701	
617103.000000	0.025744	0.090085	0.000000	0.025744	0.136430	
623559.000000	0.000000	0.184266	0.000000	0.000000	0.279064	
629048.000000	0.017266	0.099003	0.000000	0.016880	0.149937	
631315.000000	0.000000	0.170524	0.000000	0.000000	0.258251	
631407.000000	0.004949	0.132905	0.000000	0.000000	0.201279	
632385.000000	0.000000	0.025649	0.000000	0.000000	0.300754	
632848.000000	0.000000	0.018358	0.000000	0.001792	0.215260	
632906.000000	0.000000	0.027536	0.000000	0.000000	0.322890	
638369.000000	0.000000	0.058326	0.000000	0.000000	0.319860	
641159.000000	0.000000	0.037498	0.000000	0.003223	0.205640	
643248.000000	0.000000	0.039519	0.000000	0.000000	0.216724	
682387.000000	0.000000	0.039360	0.000000	0.014009	0.000000	
686007.000000	0.000000	0.107205	0.000000	0.000000	0.061209	
689758.000000	0.000000	0.099123	0.000000	0.000000	0.056594	
690650.000000	0.001815	0.000000	0.001815	0.001815	0.000000	
695654.000000	0.006984	0.000000	0.006984	0.006984	0.000000	
696600.000000	0.007842	0.000000	0.007842	0.007842	0.000000	
707354.000000	0.013631	0.000000	0.000000	0.000000	0.000000	
707363.000000	0.038262	0.000000	0.000000	0.000000	0.000000	
756157.000000	0.000000	0.000000	0.000000	0.096149	0.000000	
781816.000000	0.209764	0.007084	0.087270	0.229113	0.000000	
796934.000000	0.041980	0.000000	0.028270	0.045852	0.019382	
801540.000000	0.126627	0.000000	0.085273	0.138308	0.061260	
807417.000000	0.126390	0.000000	0.085113	0.138048	0.061145	
844300.000000	0.036434	0.338991	0.048183	0.000000	0.179138	
932457.000000	0.000000	0.244539	0.000000	0.402210	2.118310	
1001048.000000	0.000064	0.000000	0.000215	0.008930	0.189267	
1080130.000000	0.003461	0.058214	0.027665	0.000000	0.000000	
1085682.000000	0.000000	0.033109	0.058887	0.000000	0.000000	
1092547.000000	0.005445	0.000000	0.000000	0.000000	0.005646	
1093869.000000	0.000000	0.004588	0.025179	0.011278	0.000000	
1101743.000000	0.023346	0.021733	0.120622	0.040831	0.000000	
1103544.000000	0.000000	0.000000	0.103136	0.045631	0.000000	
1105508.000000	0.000000	0.000000	0.024591	0.000000	0.000000	
1111293.000000	0.001306	0.000000	0.000000	0.121558	0.000000	
1114537.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1114691.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1115237.000000	0.001782	0.000000	0.000839	0.000000	0.000000	
1118750.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1128969.000000	0.000000	0.000000	0.000000	0.354653	0.000000	
1133796.000000	0.000000	0.000000	0.000000	0.081821	0.000000	
1142720.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1147111.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1147390.000000	0.000000	0.014980	0.014980	0.014980	0.007514	
1148660.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1148679.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1156927.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1159371.000000	0.000000	0.000000	0.000000	0.035498	0.000000	
1163385.000000	0.000000	0.000000	0.000000	0.064900	0.041309	
1164048.000000	0.000000	0.000000	0.000000	0.042983	0.000000	
1165063.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1177228.000000	0.002232	0.064337	0.000000	0.000000	0.000000	
1180061.000000	0.000000	0.338544	0.000000	0.000000	0.000000	
1184038.000000	0.000000	0.101947	0.000000	0.000000	0.000000	
1184962.000000	0.000000	0.057285	0.000836	0.000000	0.000000	
1185011.000000	0.000000	0.385545	0.000000	0.000000	0.000000	
1185329.000000	0.000000	0.127235	0.000000	0.000000	0.000000	
1185816.000000	0.000000	0.019274	0.003035	0.000000	0.000000	
1186731.000000	0.001639	0.019688	0.000000	0.000000	0.000000	
1187243.000000	0.000000	0.012740	0.000000	0.000000	0.000000	
1188116.000000	0.000000	0.000000	0.000000	0.007606	0.007465	
1193058.000000	0.002035	0.046079	0.005562	0.000000	0.037621	
1285133.000000	0.010455	0.104844	0.010455	0.000000	0.066947	
1323304.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1365829.000000	0.000000	0.000000	0.000000	0.794581	0.000000	
1365841.000000	0.000000	0.000000	0.000000	0.737848	0.000000	
1371640.000000	0.003449	0.000000	0.004499	0.068702	0.012329	
1375070.000000	0.000000	0.000000	0.000000	0.801929	0.000000	
1375942.000000	0.000000	0.000000	0.000000	0.860952	0.000000	
1380550.000000	0.000000	0.000000	0.000000	0.282775	0.000000	
1382368.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1383386.000000	0.000000	0.000000	0.000000	0.092443	0.000000	
1395611.000000	0.001514	0.022044	0.000550	0.025301	0.000000	
1396037.000000	0.000000	0.035540	0.000000	0.040790	0.000000	
1400245.000000	0.000474	0.000000	0.001138	0.082765	0.000000	
1402843.000000	0.000000	0.123004	0.000000	0.126459	0.000000	
1404930.000000	0.002149	0.072884	0.000000	0.074931	0.000000	
1408923.000000	0.000000	0.118214	0.000000	0.121534	0.000000	
1410773.000000	0.000323	0.066135	0.000445	0.067992	0.000000	
1411884.000000	0.004466	0.095770	0.000000	0.098459	0.000000	
1418873.000000	0.000000	0.101765	0.000000	0.104623	0.000000	
1421106.000000	0.000726	0.057851	0.002601	0.059476	0.000000	
1425389.000000	0.000104	0.064955	0.001937	0.066780	0.000000	
1426429.000000	0.000000	0.133871	0.000000	0.137631	0.000000	
1430738.000000	0.000000	0.146236	0.000000	0.150343	0.000000	
1431881.000000	0.002022	0.065783	0.003899	0.067630	0.000000	
1442756.000000	0.001777	0.000000	0.000425	0.000000	0.036051	
1448238.000000	0.000000	0.000000	0.002759	0.000000	0.049573	
1448949.000000	0.000000	0.000000	0.002394	0.000000	0.049566	
1448958.000000	0.000000	0.000000	0.002693	0.000000	0.055760	
1449063.000000	0.000000	0.000000	0.002103	0.000000	0.043538	
1449411.000000	0.000000	0.000000	0.002689	0.000000	0.055678	
1449639.000000	0.001354	0.000000	0.000000	0.000000	0.055712	
1449904.000000	0.000903	0.000000	0.000110	0.000000	0.037150	
1449975.000000	0.000000	0.000000	0.000000	0.000000	0.111413	
1450203.000000	0.000000	0.000000	0.000000	0.000000	0.123763	
1450364.000000	0.000000	0.000000	0.000489	0.000000	0.055716	
1450384.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1450644.000000	0.000000	0.000000	0.000000	0.000000	0.014924	
1451028.000000	0.000000	0.000000	0.017591	0.000000	0.056063	
1451400.000000	0.000000	0.000000	0.002924	0.000000	0.009317	
1452476.000000	0.000000	0.000000	0.001008	0.000000	0.009323	
1452559.000000	0.000000	0.000000	0.000907	0.000000	0.008392	
1452612.000000	0.000000	0.000000	0.000000	0.000000	0.013084	
1453142.000000	0.000000	0.000000	0.000000	0.001300	0.007474	
1453152.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1453238.000000	0.000000	0.000000	0.001355	0.000000	0.026429	
1453382.000000	0.000000	0.000000	0.006991	0.000000	0.136322	
1453770.000000	0.000000	0.000000	0.000000	0.000000	0.047570	
