Position	iRESk_prop_ind1	iRESk_prop_ind2	iRESk_prop_ind3	iRESk_prop_ind4	iRESk_prop_ind5	
13233.000000	-1	-1	-1	-1	-1	
13621.000000	-1	-1	-1	-1	-1	
18007.000000	-1	-1	-1	-1	-1	
18008.000000	-1	-1	-1	-1	-1	
18026.000000	0.000000	0.000000	-1	0.000000	0.000000	
18370.000000	-1	-1	-1	-1	-1	
18485.000000	-1	-1	-1	-1	-1	
26202.000000	-1	-1	-1	-1	-1	
26204.000000	-1	-1	-1	-1	-1	
26213.000000	-1	-1	-1	-1	-1	
26248.000000	-1	-1	-1	-1	-1	
26714.000000	-1	-1	-1	-1	-1	
26730.000000	-1	-1	-1	-1	-1	
26753.000000	-1	-1	-1	-1	-1	
27025.000000	-1	-1	-1	-1	-1	
27105.000000	-1	-1	-1	-1	-1	
28389.000000	-1	-1	-1	-1	-1	
28423.000000	-1	-1	-1	-1	-1	
28449.000000	-1	-1	-1	-1	-1	
28467.000000	-1	-1	-1	-1	-1	
28479.000000	-1	-1	-1	-1	-1	
28492.000000	-1	-1	-1	-1	-1	
30829.000000	-1	0.000000	-1	-1	0.000000	
31047.000000	-1	-1	-1	-1	-1	
31060.000000	-1	-1	-1	-1	-1	
31100.000000	-1	-1	-1	-1	-1	
31516.000000	-1	-1	-1	-1	-1	
31566.000000	-1	-1	-1	-1	-1	
31567.000000	-1	-1	-1	-1	-1	
31569.000000	-1	-1	-1	-1	-1	
31585.000000	-1	-1	-1	-1	-1	
35348.000000	-1	-1	-1	-1	-1	
35349.000000	-1	-1	-1	-1	-1	
37087.000000	-1	-1	-1	-1	-1	
37092.000000	-1	-1	-1	-1	-1	
37096.000000	-1	-1	-1	-1	-1	
37137.000000	-1	-1	-1	-1	-1	
37167.000000	-1	-1	-1	-1	-1	
49918.000000	-1	-1	-1	-1	-1	
49921.000000	-1	-1	-1	-1	-1	
50077.000000	-1	-1	-1	-1	-1	
50089.000000	-1	-1	-1	-1	-1	
51708.000000	-1	-1	-1	-1	-1	
51765.000000	-1	-1	-1	-1	-1	
51769.000000	-1	-1	-1	-1	-1	
51773.000000	-1	-1	-1	-1	-1	
51776.000000	-1	-1	-1	-1	-1	
54017.000000	-1	-1	-1	-1	-1	
54341.000000	-1	-1	-1	-1	-1	
54380.000000	-1	-1	-1	-1	-1	
54487.000000	-1	-1	-1	-1	-1	
54571.000000	-1	-1	-1	-1	-1	
54937.000000	-1	-1	-1	-1	-1	
54952.000000	-1	-1	-1	-1	-1	
55097.000000	-1	-1	-1	-1	-1	
55128.000000	-1	-1	-1	-1	-1	
56327.000000	-1	-1	-1	-1	-1	
57019.000000	-1	-1	-1	-1	-1	
57836.000000	-1	-1	-1	-1	-1	
57847.000000	-1	-1	-1	-1	-1	
58601.000000	-1	-1	-1	-1	-1	
58650.000000	-1	-1	-1	-1	-1	
58703.000000	-1	-1	-1	-1	-1	
58704.000000	-1	-1	-1	-1	-1	
58713.000000	-1	-1	-1	-1	-1	
58718.000000	-1	-1	-1	-1	-1	
59102.000000	-1	-1	-1	-1	-1	
59105.000000	-1	-1	-1	-1	-1	
59324.000000	-1	-1	-1	-1	-1	
59350.000000	-1	-1	-1	-1	-1	
66868.000000	-1	-1	-1	-1	-1	
66892.000000	-1	-1	-1	-1	-1	
66930.000000	-1	-1	-1	-1	-1	
66938.000000	-1	-1	-1	-1	-1	
67135.000000	-1	-1	-1	-1	-1	
67156.000000	-1	-1	-1	-1	-1	
67167.000000	-1	-1	-1	-1	-1	
70077.000000	-1	-1	-1	-1	-1	
70093.000000	-1	-1	-1	-1	-1	
70219.000000	-1	-1	-1	-1	-1	
70257.000000	-1	-1	-1	-1	-1	
71324.000000	-1	-1	-1	-1	-1	
71345.000000	-1	-1	-1	-1	-1	
71431.000000	-1	-1	-1	-1	-1	
73636.000000	-1	-1	-1	-1	-1	
75311.000000	-1	-1	-1	-1	-1	
75324.000000	-1	-1	-1	-1	-1	
76450.000000	-1	-1	-1	-1	-1	
76471.000000	-1	-1	-1	-1	-1	
76474.000000	-1	-1	-1	-1	-1	
85623.000000	-1	-1	-1	-1	-1	
86000.000000	-1	-1	-1	-1	-1	
86475.000000	-1	-1	-1	0.000000	0.000000	
86483.000000	-1	-1	-1	-1	-1	
86489.000000	-1	-1	-1	-1	-1	
86688.000000	-1	-1	-1	0.000000	0.000000	
86779.000000	-1	-1	-1	-1	-1	
87329.000000	-1	-1	-1	-1	-1	
87756.000000	-1	-1	-1	-1	-1	
87801.000000	-1	-1	-1	-1	-1	
