Position	iES_BRG	iES_BRM	iES_CHCU	iES_CHCA	iES_CHFR	iES_TXL	log(iES_BRG)	log(iES_BRM)	log(iES_CHCU)	log(iES_CHCA)	log(iES_CHFR)	log(iES_TXL)	log_Rsb(BRG/BRM)	log_Rsb(BRG/CHCU)	log_Rsb(BRG/CHCA)	log_Rsb(BRG/CHFR)	log_Rsb(BRG/TXL)	log_Rsb(BRM/CHCU)	log_Rsb(BRM/CHCA)	log_Rsb(BRM/CHFR)	log_Rsb(BRM/TXL)	log_Rsb(CHCU/CHCA)	log_Rsb(CHCU/CHFR)	log_Rsb(CHCU/TXL)	log_Rsb(CHCA/CHFR)	log_Rsb(CHCA/TXL)	log_Rsb(CHFR/TXL)	log_RsbN(BRG/BRM)	log_RsbN(BRG/CHCU)	log_RsbN(BRG/CHCA)	log_RsbN(BRG/CHFR)	log_RsbN(BRG/TXL)	log_RsbN(BRM/CHCU)	log_RsbN(BRM/CHCA)	log_RsbN(BRM/CHFR)	log_RsbN(BRM/TXL)	log_RsbN(CHCU/CHCA)	log_RsbN(CHCU/CHFR)	log_RsbN(CHCU/TXL)	log_RsbN(CHCA/CHFR)	log_RsbN(CHCA/TXL)	log_RsbN(CHFR/TXL)	
13233.000000	7891.111111	18996.035714	13628.666667	12501.800000	5137.000000	NA	8.973492	9.851986	9.519931	9.433628	8.544225	NA	-0.878493	-0.546438	-0.460136	0.429268	NA	0.332055	0.418358	1.307761	NA	0.086303	0.975706	NA	0.889403	NA	NA	-1.718449	-0.667929	-0.545346	0.766447	NA	1.672147	1.444390	1.175699	NA	0.238173	1.002956	NA	1.000058	NA	NA	
13621.000000	7891.111111	18324.066667	13628.666667	12501.800000	5137.000000	NA	8.973492	9.815971	9.519931	9.433628	8.544225	NA	-0.842478	-0.546438	-0.460136	0.429268	NA	0.296040	0.382343	1.271746	NA	0.086303	0.975706	NA	0.889403	NA	NA	-1.594931	-0.667929	-0.545346	0.766447	NA	1.488853	1.301697	1.151147	NA	0.238173	1.002956	NA	1.000058	NA	NA	
18007.000000	7322.300000	18324.066667	13628.666667	12501.800000	5137.000000	NA	8.898680	9.815971	9.519931	9.433628	8.544225	NA	-0.917291	-0.621251	-0.534948	0.354455	NA	0.296040	0.382343	1.271746	NA	0.086303	0.975706	NA	0.889403	NA	NA	-1.851510	-0.896004	-0.848675	0.715114	NA	1.488853	1.301697	1.151147	NA	0.238173	1.002956	NA	1.000058	NA	NA	
18008.000000	7605.388889	18324.066667	13628.666667	12501.800000	5137.000000	NA	8.936612	9.815971	9.519931	9.433628	8.544225	NA	-0.879358	-0.583318	-0.497016	0.392388	NA	0.296040	0.382343	1.271746	NA	0.086303	0.975706	NA	0.889403	NA	NA	-1.721416	-0.780362	-0.694877	0.741141	NA	1.488853	1.301697	1.151147	NA	0.238173	1.002956	NA	1.000058	NA	NA	
18026.000000	10059.583333	23247.727273	13628.666667	13053.071429	5137.000000	NA	9.216281	10.053963	9.519931	9.476779	8.544225	NA	-0.837682	-0.303650	-0.260498	0.672056	NA	0.534032	0.577184	1.509738	NA	0.043152	0.975706	NA	0.932554	NA	NA	-1.578480	0.072242	0.264091	0.933039	NA	2.700083	2.073665	1.313388	NA	0.053769	1.002956	NA	1.032541	NA	NA	
18370.000000	9703.900000	18562.433333	13628.666667	12459.233333	5137.000000	NA	9.180283	9.828895	9.519931	9.430217	8.544225	NA	-0.648612	-0.339648	-0.249934	0.636059	NA	0.308964	0.398678	1.284671	NA	0.089713	0.975706	NA	0.885993	NA	NA	-0.930040	-0.037502	0.306921	0.908338	NA	1.554631	1.366417	1.159958	NA	0.252749	1.002956	NA	0.997491	NA	NA	
18485.000000	10831.250000	18562.433333	14395.409091	14275.416667	NA	NA	9.290191	9.828895	9.574665	9.566294	NA	NA	-0.538704	-0.284474	-0.276103	NA	NA	0.254230	0.262601	NA	NA	0.008370	NA	NA	NA	NA	NA	-0.553098	0.130701	0.200817	NA	NA	1.276069	0.827276	NA	NA	-0.094870	NA	NA	NA	NA	NA	
26202.000000	18547.125000	24966.200000	19343.150000	12845.892857	11.000000	NA	9.828070	10.125278	9.870094	9.460779	2.397895	NA	-0.297208	-0.042024	0.367291	7.430175	NA	0.255185	0.664499	7.727383	NA	0.409314	7.472198	NA	7.062884	NA	NA	0.275146	0.869840	2.809474	5.570182	NA	1.280925	2.419610	5.552007	NA	1.618559	5.695656	NA	5.647300	NA	NA	
26204.000000	16517.222222	20297.400000	12067.708333	11991.333333	11.000000	NA	9.712159	9.918248	9.398288	9.391939	2.397895	NA	-0.206089	0.313870	0.320219	7.314264	NA	0.519960	0.526309	7.520353	NA	0.006349	7.000393	NA	6.994044	NA	NA	0.587651	1.954826	2.618622	5.490648	NA	2.628464	1.872095	5.410873	NA	-0.103508	5.354850	NA	5.595479	NA	NA	
26213.000000	16517.222222	20297.400000	12067.708333	11991.333333	11.000000	NA	9.712159	9.918248	9.398288	9.391939	2.397895	NA	-0.206089	0.313870	0.320219	7.314264	NA	0.519960	0.526309	7.520353	NA	0.006349	7.000393	NA	6.994044	NA	NA	0.587651	1.954826	2.618622	5.490648	NA	2.628464	1.872095	5.410873	NA	-0.103508	5.354850	NA	5.595479	NA	NA	
26248.000000	15100.888889	22122.375000	20245.642857	22616.416667	NA	NA	9.622509	10.004345	9.915695	10.026431	NA	NA	-0.381836	-0.293186	-0.403922	NA	NA	0.088650	-0.022087	NA	NA	-0.110736	NA	NA	NA	NA	NA	-0.015096	0.104141	-0.317428	NA	NA	0.433368	-0.300666	NA	NA	-0.603871	NA	NA	NA	NA	NA	
26714.000000	33191.500000	31458.750000	36056.400000	28208.833333	61087.000000	NA	10.410049	10.356432	10.492840	10.247390	11.020054	NA	0.053617	-0.082791	0.162659	-0.610005	NA	-0.136407	0.109042	-0.663622	NA	0.245449	-0.527215	NA	-0.772664	NA	NA	1.478346	0.745557	1.979788	0.053340	NA	-0.712031	0.218870	-0.168209	NA	0.918284	-0.082669	NA	-0.251105	NA	NA	
26730.000000	16702.550000	29457.700000	35294.818182	30906.833333	61087.000000	NA	9.723317	10.290711	10.471491	10.338733	11.020054	NA	-0.567394	-0.748175	-0.615416	-1.296738	NA	-0.180781	-0.048022	-0.729344	NA	0.132759	-0.548563	NA	-0.681322	NA	NA	-0.651492	-1.282947	-1.174934	-0.417867	NA	-0.937865	-0.403423	-0.213012	NA	0.436703	-0.098090	NA	-0.182345	NA	NA	
26753.000000	20873.312500	32909.115385	38013.545455	34985.115385	61087.000000	NA	9.946227	10.401505	10.545698	10.462678	11.020054	NA	-0.455278	-0.599471	-0.516451	-1.073828	NA	-0.144193	-0.061173	-0.618549	NA	0.083020	-0.474357	NA	-0.557376	NA	NA	-0.266977	-0.829606	-0.773679	-0.264915	NA	-0.751655	-0.455528	-0.137482	NA	0.224144	-0.044487	NA	-0.089042	NA	NA	
27025.000000	23205.857143	32909.115385	40700.650000	32498.750000	61087.000000	NA	10.052160	10.401505	10.613999	10.388957	11.020054	NA	-0.349345	-0.561839	-0.336797	-0.967894	NA	-0.212494	0.012548	-0.618549	NA	0.225042	-0.406055	NA	-0.631097	NA	NA	0.096336	-0.714881	-0.045266	-0.192228	NA	-1.099267	-0.163443	-0.137482	NA	0.831076	0.004850	NA	-0.144537	NA	NA	
27105.000000	32418.800000	32991.038462	40700.650000	34985.115385	61087.000000	NA	10.386494	10.403991	10.613999	10.462678	11.020054	NA	-0.017497	-0.227506	-0.076184	-0.633561	NA	-0.210008	-0.058687	-0.616063	NA	0.151321	-0.406055	NA	-0.557376	NA	NA	1.234451	0.304376	1.011394	0.037178	NA	-1.086614	-0.445678	-0.135787	NA	0.516030	0.004850	NA	-0.089042	NA	NA	
