bp	data_stats...col_RsbN...k.
148356	3.107174
149635	3.127314
285875	4.210922
286000	3.167804
539717	-3.005052
708634	-3.587208
708956	-3.407907
709122	-4.673816
709155	-3.747783
709180	-3.762685
709264	-4.218573
709301	-3.214128
709336	-3.214128
709580	-3.360093
709647	-3.316351
709779	-3.610039
709781	-3.114018
710199	-3.041167
710654	-3.296438
710775	-3.296438
710777	-3.208705
711052	-3.530831
711098	-3.089193
711123	-3.603805
711256	-3.477482
711885	-3.360498
711922	-3.55895
711990	-4.230765
711992	-3.834002
712009	-3.739827
712089	-3.739827
712098	-4.306834
713956	-4.489627
733644	-3.284301
734916	-2.999898
735152	-3.124203
1200178	-3.122561
1253979	-3.624013
1324826	3.697789
1329366	3.060233
1687622	-4.137332
1687754	-3.741014
1687899	-3.076854
1688067	-3.165334
1688129	-3.282674
1688309	-3.400944
1688546	-3.141851
1688573	-3.315954
1688732	-3.564839
1691238	-3.115414
1748185	-4.700675
1824976	4.865519
1901415	-3.258929
2058495	3.764882
2058508	3.652476
2058704	4.00918
2058713	3.861611
2058883	4.264819
2058887	4.361403
2058931	3.892377
2058943	3.593432
2058949	3.885108
2059029	3.824211
2059104	3.897855
2059180	3.781705
2059215	3.657673
2059258	3.057205
2059318	3.478151
2059880	3.203923
