bp	data_stats...col_RsbN...k.
89357	-3.366612
90893	-3.061386
90942	-3.016783
91406	-3.009617
91461	-3.009617
91748	-3.210685
91939	-3.366662
109732	-3.358112
179505	-3.158407
181778	-3.042293
181833	-3.042293
181901	-3.10471
182072	-3.217913
182199	-3.015912
182261	-3.106618
182373	-3.018576
182415	-4.170629
182600	-3.539827
182705	-4.837153
182735	-3.371223
182761	-3.985635
182796	-3.490245
183036	-3.385338
183039	-3.385338
183050	-4.090661
285865	-3.552879
285875	-7.46393
286000	-5.935237
286153	-5.002216
332580	-3.295059
332816	-3.110349
332950	-3.110349
332956	-3.315896
642291	-3.330608
642343	-3.330608
642523	-3.378705
642550	-3.283538
642551	-3.283538
642567	-3.283538
642812	-3.5678
642814	-3.5678
642823	-3.5678
642883	-3.883155
642996	-3.174553
643029	-3.159202
644648	-3.826145
947823	3.006135
1262228	-3.221789
1287114	-3.411174
1287170	-3.411174
1302699	-3.001535
1324826	-7.50077
1329342	-3.769131
1329370	-3.697307
1375621	-3.372179
1673030	3.189466
1824891	-3.539122
1824942	-3.5336
1824965	-4.780421
1824976	-6.838142
1825003	-3.060855
1891235	-3.14033
1891248	-3.862695
1891849	-3.310823
2005583	-3.385996
2017967	-3.146221
2018040	-3.051052
2018394	-3.239201
2018416	-3.401971
2018682	-3.409787
2018726	-3.052503
2058495	-3.798204
2058508	-3.798204
2058704	-4.140174
2058713	-3.821346
2058883	-4.130334
2058887	-4.396483
2058931	-4.540826
2058943	-4.101186
2058949	-4.232762
2059029	-3.749068
2059104	-4.036668
2059180	-4.03627
2059215	-4.046883
2059258	-3.076701
2059318	-3.090634
