bp	data_stats...col_RsbN...k.
526999	-3.044405
690650	-3.262241
690825	-3.136448
699947	-4.102413
708438	-3.54863
708634	-4.399393
708643	-3.729908
708747	-3.708822
708850	-3.662765
708956	-3.771262
709047	-3.87936
709122	-5.330478
709155	-4.697643
709180	-4.712043
709264	-4.55634
709301	-4.179802
709336	-4.179802
709374	-3.87535
709580	-4.048398
709647	-3.594249
709779	-3.81797
709781	-4.109155
709824	-3.514661
709864	-3.443945
709928	-3.499577
710198	-3.765627
710199	-4.359411
710299	-3.887557
710312	-3.809762
710337	-3.739017
710569	-3.797335
710595	-3.855384
710624	-3.855384
710633	-4.624612
710654	-4.586745
710775	-4.586745
710777	-4.48203
710823	-4.233831
711052	-4.480753
711098	-4.523218
711123	-4.912532
711193	-4.010523
711204	-4.010523
711256	-4.676741
711352	-4.120046
711737	-4.240558
711806	-4.448069
711885	-4.736326
711922	-5.017657
711990	-5.300716
711992	-5.141917
712009	-5.134647
712089	-5.134647
712098	-5.375624
712172	-3.191229
712254	-3.439271
712500	-3.026143
713374	-3.337376
713445	-3.048452
713478	-3.125435
713524	-3.118151
713826	-3.480287
713956	-5.366506
714124	-3.465382
714178	-3.432879
714426	-3.332931
714451	-3.119138
714454	-3.119138
714509	-3.119138
714515	-3.119138
714521	-3.144519
717841	-3.116192
733644	-3.580075
733687	-3.046334
734916	-3.042943
735152	-3.253055
925735	3.240084
962622	3.029222
964096	3.190869
964784	3.080908
965740	3.032023
966235	3.032023
1201176	-3.20594
1253979	-4.403059
1687622	-3.037872
1891235	-3.487396
1891238	-3.597077
1891248	-3.264418
1891613	-3.059399
1901415	-3.598006
