Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	Rsbk[5]	Rsbk[6]	Rsbk[7]	Rsbk[8]	Rsbk[9]	
13233.000000	0.286549	0.112355	0.112355	0.330046	0.281130	0.103476	0.103270	0.000000	0.103476	0.103476	
13621.000000	0.286549	0.112355	0.112355	0.330046	0.281130	0.103476	0.103270	0.000000	0.103476	0.103476	
18007.000000	0.257894	0.101119	0.101119	0.297041	0.253017	0.093128	0.092943	0.042885	0.093128	0.093128	
18008.000000	0.286549	0.112355	0.112355	0.330046	0.281130	0.103476	0.000000	0.047650	0.103476	0.103476	
18026.000000	0.429823	0.168532	0.168532	0.495068	0.421696	0.000000	0.274609	0.000000	0.000000	0.000000	
18370.000000	0.257894	0.101119	0.101119	0.319788	0.253017	0.368678	0.164765	0.080699	0.161242	0.080699	
18485.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
26202.000000	150.545455	972.664773	51.653409	186.676136	147.698864	215.386364	96.181818	0.000000	94.125000	0.000000	
26204.000000	133.818182	864.590909	45.914141	165.934343	131.287879	191.454545	85.494949	0.000000	83.666667	2.808081	
26213.000000	133.818182	864.590909	45.914141	165.934343	131.287879	191.454545	85.494949	0.000000	83.666667	2.808081	
26248.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
26714.000000	0.000000	0.247122	0.013123	0.047428	0.174882	0.054723	0.000000	0.000000	0.000000	0.000000	
26730.000000	0.000495	0.123561	0.006562	0.023714	0.087441	0.027361	0.000028	0.000495	0.000495	0.000028	
26753.000000	0.000619	0.154451	0.008202	0.029643	0.109301	0.034202	0.000000	0.000619	0.000619	0.000000	
27025.000000	0.000707	0.176516	0.000000	0.033877	0.124916	0.039088	0.000000	0.000707	0.000707	0.000000	
27105.000000	0.000000	0.247122	0.000000	0.047428	0.174882	0.054723	0.001969	0.000000	0.000000	0.000000	
28389.000000	0.005118	0.137290	0.001164	0.026349	0.097157	0.030401	0.000000	0.003069	0.003069	0.001164	
28423.000000	0.004606	0.123561	0.001048	0.023714	0.087441	0.027361	0.000097	0.002762	0.002762	0.001048	
28449.000000	0.004606	0.123561	0.001048	0.023714	0.087441	0.027361	0.000097	0.002762	0.002762	0.001048	
28467.000000	0.004606	0.123561	0.001048	0.023714	0.087441	0.027361	0.000097	0.002762	0.002762	0.001048	
28479.000000	0.006581	0.176516	0.000000	0.033877	0.124916	0.039088	0.000000	0.003946	0.003946	0.000000	
28492.000000	0.004606	0.123561	0.001696	0.023714	0.087441	0.027361	0.001696	0.002762	0.002762	0.001696	
30829.000000	0.011516	0.308903	0.000000	0.000000	0.218602	0.067783	0.000000	0.000000	0.000000	0.000000	
31047.000000	0.000000	0.247122	0.001845	0.104536	0.174882	0.054226	0.000000	0.000000	0.000000	0.000000	
31060.000000	0.000945	0.154451	0.001153	0.065335	0.109301	0.033891	0.000000	0.000000	0.000945	0.004354	
31100.000000	0.000945	0.154451	0.001153	0.065335	0.109301	0.033891	0.000000	0.000000	0.000945	0.004354	
31516.000000	0.000756	0.123561	0.000922	0.052268	0.087441	0.027113	0.005833	0.005833	0.000756	0.003483	
31566.000000	0.000756	0.123561	0.000922	0.052268	0.087441	0.027113	0.005833	0.005833	0.000756	0.003483	
31567.000000	0.000756	0.123561	0.000922	0.052268	0.087441	0.027113	0.005833	0.005833	0.000756	0.003483	
31569.000000	0.000756	0.123561	0.000922	0.052268	0.087441	0.027113	0.005833	0.005833	0.000756	0.003483	
31585.000000	0.000000	0.176516	0.000000	0.074668	0.124916	0.038733	0.008332	0.008332	0.000000	0.004976	
35348.000000	0.016161	0.137290	0.005911	0.058075	0.097157	0.030126	0.006481	0.006481	0.016161	0.000000	
35349.000000	0.018182	0.154451	0.006650	0.065335	0.109301	0.033891	0.000000	0.000000	0.018182	0.001569	
37087.000000	0.016161	0.137290	0.005911	0.058075	0.097157	0.030126	0.011748	0.011748	0.016161	0.000000	
37092.000000	0.016161	0.137290	0.005911	0.058075	0.097157	0.030126	0.011748	0.011748	0.016161	0.000000	
37096.000000	0.016161	0.137290	0.005911	0.058075	0.097157	0.030126	0.011748	0.011748	0.016161	0.000000	
37137.000000	0.014545	0.123561	0.005320	0.052268	0.087441	0.027113	0.010573	0.010573	0.014545	0.000051	
37167.000000	0.020779	0.168559	0.000000	0.074668	0.124916	0.000000	0.015105	0.015105	0.020779	0.000000	
49918.000000	0.000000	0.235982	0.018641	0.104536	0.174882	0.031233	0.000000	0.000000	0.000000	0.000000	
49921.000000	0.007393	0.131101	0.010356	0.058075	0.097157	0.017352	0.000128	0.000000	0.007393	0.000128	
50077.000000	0.009506	0.168559	0.000000	0.074668	0.124916	0.022309	0.000000	0.008620	0.009506	0.000000	
50089.000000	0.006654	0.117991	0.004061	0.052268	0.087441	0.015616	0.006280	0.006034	0.006654	0.004061	
51708.000000	0.006654	0.117991	0.004061	0.052268	0.087441	0.015616	0.006280	0.006034	0.006654	0.004061	
51765.000000	0.006654	0.117991	0.004061	0.052268	0.087441	0.015616	0.006280	0.006034	0.006654	0.004061	
51769.000000	0.006654	0.117991	0.004061	0.052268	0.087441	0.015616	0.006280	0.006034	0.006654	0.004061	
51773.000000	0.006654	0.117991	0.004061	0.052268	0.087441	0.015616	0.006280	0.006034	0.006654	0.004061	
51776.000000	0.006654	0.117991	0.004061	0.052268	0.087441	0.015616	0.006280	0.006034	0.006654	0.004061	
54017.000000	0.008318	0.147489	0.000000	0.065335	0.109301	0.019521	0.007850	0.007543	0.008318	0.000000	
54341.000000	0.007393	0.131101	0.000291	0.058075	0.097157	0.017352	0.006978	0.000000	0.007393	0.000291	
