Position	iESk_ind1	iESk_ind2	iESk_ind3	iESk_ind4	iESk_ind5	
13233.000000	2649.600000	1038.900000	1038.900000	3051.800000	2599.500000	
13621.000000	2649.600000	1038.900000	1038.900000	3051.800000	2599.500000	
18007.000000	2649.600000	1038.900000	1038.900000	3051.800000	2599.500000	
18008.000000	2649.600000	1038.900000	1038.900000	3051.800000	2599.500000	
18026.000000	2649.600000	1038.900000	1038.900000	3051.800000	2599.500000	
18370.000000	2649.600000	1038.900000	1038.900000	3051.800000	2599.500000	
18485.000000	4416.000000	0.000000	0.000000	5086.333333	4332.500000	
26202.000000	2649.600000	17118.900000	909.100000	3285.500000	2599.500000	
26204.000000	2649.600000	17118.900000	909.100000	3285.500000	2599.500000	
26213.000000	2649.600000	17118.900000	909.100000	3285.500000	2599.500000	
26248.000000	3312.000000	21398.625000	1136.375000	4106.875000	0.000000	
26714.000000	0.000000	21398.625000	1136.375000	4106.875000	15143.250000	
26730.000000	68.600000	17118.900000	909.100000	3285.500000	12114.600000	
26753.000000	68.600000	17118.900000	909.100000	3285.500000	12114.600000	
27025.000000	85.750000	21398.625000	0.000000	4106.875000	15143.250000	
27105.000000	0.000000	28531.500000	0.000000	5475.833333	20191.000000	
28389.000000	638.200000	17118.900000	145.200000	3285.500000	12114.600000	
28423.000000	638.200000	17118.900000	145.200000	3285.500000	12114.600000	
28449.000000	638.200000	17118.900000	145.200000	3285.500000	12114.600000	
28467.000000	638.200000	17118.900000	145.200000	3285.500000	12114.600000	
28479.000000	797.750000	21398.625000	0.000000	4106.875000	15143.250000	
28492.000000	638.200000	17118.900000	235.000000	3285.500000	12114.600000	
30829.000000	1063.666667	27245.333333	0.000000	0.000000	20191.000000	
31047.000000	0.000000	20434.000000	159.750000	9051.875000	15143.250000	
31060.000000	104.700000	16347.200000	127.800000	7241.500000	12114.600000	
31100.000000	104.700000	16347.200000	127.800000	7241.500000	12114.600000	
31516.000000	104.700000	16347.200000	127.800000	7241.500000	12114.600000	
31566.000000	104.700000	16347.200000	127.800000	7241.500000	12114.600000	
31567.000000	104.700000	16347.200000	127.800000	7241.500000	12114.600000	
31569.000000	104.700000	16347.200000	127.800000	7241.500000	12114.600000	
31585.000000	0.000000	27245.333333	0.000000	12069.166667	20191.000000	
35348.000000	2015.200000	16347.200000	737.100000	7241.500000	12114.600000	
35349.000000	2015.200000	16347.200000	737.100000	7241.500000	12114.600000	
37087.000000	2015.200000	16347.200000	737.100000	7241.500000	12114.600000	
37092.000000	2015.200000	16347.200000	737.100000	7241.500000	12114.600000	
37096.000000	2015.200000	16347.200000	737.100000	7241.500000	12114.600000	
37137.000000	2015.200000	16347.200000	737.100000	7241.500000	12114.600000	
37167.000000	2519.000000	20434.000000	0.000000	9051.875000	15143.250000	
49918.000000	0.000000	20434.000000	1614.125000	9051.875000	15143.250000	
49921.000000	921.900000	16347.200000	1291.300000	7241.500000	12114.600000	
50077.000000	1152.375000	20434.000000	0.000000	9051.875000	15143.250000	
50089.000000	921.900000	16347.200000	562.700000	7241.500000	12114.600000	
51708.000000	921.900000	16347.200000	562.700000	7241.500000	12114.600000	
51765.000000	921.900000	16347.200000	562.700000	7241.500000	12114.600000	
51769.000000	921.900000	16347.200000	562.700000	7241.500000	12114.600000	
51773.000000	921.900000	16347.200000	562.700000	7241.500000	12114.600000	
51776.000000	921.900000	16347.200000	562.700000	7241.500000	12114.600000	
54017.000000	1152.375000	20434.000000	0.000000	9051.875000	15143.250000	
54341.000000	921.900000	16347.200000	36.300000	7241.500000	12114.600000	
54380.000000	1152.375000	20434.000000	0.000000	9051.875000	15143.250000	
54487.000000	921.900000	16347.200000	598.800000	7241.500000	12114.600000	
54571.000000	0.000000	20434.000000	748.500000	9051.875000	15143.250000	
54937.000000	6296.700000	16347.200000	598.800000	7241.500000	12114.600000	
54952.000000	6296.700000	16347.200000	598.800000	7241.500000	12114.600000	
55097.000000	6296.700000	16347.200000	598.800000	7241.500000	12114.600000	
55128.000000	6296.700000	16347.200000	598.800000	7241.500000	12114.600000	
56327.000000	6296.700000	16347.200000	598.800000	7241.500000	12114.600000	
57019.000000	6296.700000	16347.200000	598.800000	7241.500000	12114.600000	
57836.000000	7870.875000	20434.000000	0.000000	9051.875000	15143.250000	
57847.000000	6296.700000	16347.200000	76.500000	7241.500000	12114.600000	
58601.000000	7870.875000	20434.000000	0.000000	9051.875000	15143.250000	
58650.000000	7870.875000	20434.000000	0.000000	9051.875000	15143.250000	
58703.000000	7870.875000	20434.000000	0.000000	9051.875000	15143.250000	
58704.000000	6296.700000	16347.200000	2.400000	7241.500000	12114.600000	
58713.000000	6296.700000	16347.200000	2.400000	7241.500000	12114.600000	
58718.000000	7870.875000	20434.000000	0.000000	9051.875000	15143.250000	
59102.000000	6296.700000	16347.200000	38.700000	7241.500000	12114.600000	
59105.000000	7870.875000	20434.000000	0.000000	9051.875000	15143.250000	
59324.000000	6296.700000	16347.200000	5404.600000	7241.500000	12114.600000	
59350.000000	6296.700000	16347.200000	5404.600000	7241.500000	12114.600000	
66868.000000	6296.700000	16347.200000	5404.600000	7241.500000	12114.600000	
66892.000000	6296.700000	16347.200000	5404.600000	7241.500000	12114.600000	
66930.000000	6296.700000	16347.200000	5404.600000	7241.500000	12114.600000	
66938.000000	6296.700000	16347.200000	5404.600000	7241.500000	12114.600000	
67135.000000	6296.700000	16347.200000	5404.600000	7241.500000	12114.600000	
67156.000000	7870.875000	20434.000000	6755.750000	0.000000	15143.250000	
67167.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
70077.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
70093.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
70219.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
70257.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
71324.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
71345.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
71431.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
73636.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
75311.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
75324.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
76450.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
76471.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
76474.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
85623.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
86000.000000	6296.700000	16347.200000	5404.600000	4294.400000	12114.600000	
86475.000000	0.000000	27245.333333	0.000000	7157.333333	20191.000000	
86483.000000	0.000000	27245.333333	0.000000	7157.333333	20191.000000	
86489.000000	0.000000	27245.333333	0.000000	7157.333333	20191.000000	
86688.000000	0.000000	27245.333333	0.000000	7157.333333	20191.000000	
86779.000000	223.300000	16347.200000	223.300000	4294.400000	12114.600000	
87329.000000	279.125000	20434.000000	279.125000	5368.000000	0.000000	
87756.000000	223.300000	16347.200000	223.300000	4294.400000	2009.500000	
87801.000000	223.300000	16347.200000	223.300000	4294.400000	2009.500000	
87899.000000	0.000000	27245.333333	0.000000	7157.333333	3349.166667	
88400.000000	0.000000	27245.333333	0.000000	7157.333333	3349.166667	
88599.000000	22.200000	16347.200000	22.200000	4294.400000	2009.500000	
88622.000000	0.000000	27245.333333	0.000000	7157.333333	3349.166667	
88645.000000	0.000000	40868.000000	0.000000	0.000000	5023.750000	
88900.000000	124.000000	16347.200000	124.000000	1763.500000	2009.500000	
89013.000000	124.000000	16347.200000	124.000000	1763.500000	2009.500000	
89168.000000	124.000000	16347.200000	124.000000	1763.500000	2009.500000	
89357.000000	124.000000	16347.200000	124.000000	1763.500000	2009.500000	
89428.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
89519.000000	100.100000	16347.200000	100.100000	1763.500000	2009.500000	
89537.000000	100.100000	16347.200000	100.100000	1763.500000	2009.500000	
90411.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
90865.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
90893.000000	50.500000	16347.200000	50.500000	1763.500000	2009.500000	
90942.000000	50.500000	16347.200000	50.500000	1763.500000	2009.500000	
91321.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
91338.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
91406.000000	94.100000	16347.200000	94.100000	1763.500000	2009.500000	
91461.000000	94.100000	16347.200000	94.100000	1763.500000	2009.500000	
91604.000000	94.100000	16347.200000	94.100000	1763.500000	2009.500000	
91748.000000	94.100000	16347.200000	94.100000	1763.500000	2009.500000	
91937.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
91939.000000	5.000000	16347.200000	1.100000	1763.500000	2009.500000	
91948.000000	6.250000	20434.000000	0.000000	2204.375000	2511.875000	
91978.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
91984.000000	67.800000	16347.200000	33.900000	1763.500000	2009.500000	
92054.000000	67.800000	16347.200000	33.900000	1763.500000	2009.500000	
92104.000000	67.800000	16347.200000	33.900000	1763.500000	2009.500000	
92197.000000	84.750000	20434.000000	0.000000	2204.375000	2511.875000	
92443.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
92531.000000	96.900000	16347.200000	96.900000	1763.500000	2009.500000	
92827.000000	96.900000	16347.200000	96.900000	1763.500000	2009.500000	
93116.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
93217.000000	16.100000	16347.200000	16.100000	1763.500000	2009.500000	
93277.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
93465.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
93601.000000	363.300000	16347.200000	463.100000	1763.500000	2009.500000	
93952.000000	363.300000	16347.200000	463.100000	1763.500000	2009.500000	
95311.000000	363.300000	16347.200000	463.100000	1763.500000	2009.500000	
95388.000000	0.000000	20434.000000	578.875000	2204.375000	2511.875000	
95431.000000	0.000000	20434.000000	578.875000	2204.375000	2511.875000	
95724.000000	54.200000	16347.200000	463.100000	1763.500000	2009.500000	
95973.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
95987.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
96766.000000	143.375000	20434.000000	0.000000	2204.375000	2511.875000	
96771.000000	114.700000	16347.200000	69.300000	1763.500000	2009.500000	
96897.000000	114.700000	16347.200000	69.300000	1763.500000	2009.500000	
96913.000000	114.700000	16347.200000	69.300000	1763.500000	2009.500000	
96987.000000	0.000000	20434.000000	86.625000	2204.375000	2511.875000	
97024.000000	21.900000	16347.200000	69.300000	1763.500000	2009.500000	
97206.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
97239.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
97240.000000	64.100000	16347.200000	56.300000	1763.500000	2009.500000	
97494.000000	64.100000	16347.200000	56.300000	1763.500000	2009.500000	
97548.000000	80.125000	20434.000000	0.000000	2204.375000	2511.875000	
97572.000000	0.000000	27245.333333	0.000000	2939.166667	3349.166667	
97608.000000	0.000000	81736.000000	0.000000	0.000000	0.000000	
97610.000000	285.300000	16347.200000	388.500000	285.300000	285.300000	
97667.000000	285.300000	16347.200000	388.500000	285.300000	285.300000	
98044.000000	285.300000	16347.200000	388.500000	285.300000	285.300000	
98566.000000	285.300000	16347.200000	388.500000	285.300000	285.300000	
99505.000000	0.000000	40868.000000	971.250000	0.000000	0.000000	
99598.000000	0.000000	27257.333333	0.000000	3683.166667	4616.500000	
100057.000000	92.800000	16354.400000	92.800000	2209.900000	2769.900000	
100211.000000	92.800000	16354.400000	92.800000	2209.900000	2769.900000	
100372.000000	0.000000	27257.333333	0.000000	3683.166667	4616.500000	
100583.000000	246.200000	16354.400000	189.000000	2209.900000	2769.900000	
101367.000000	246.200000	16354.400000	189.000000	2209.900000	2769.900000	
101478.000000	307.750000	20443.000000	0.000000	2762.375000	3462.375000	
101641.000000	246.200000	16354.400000	29.800000	2209.900000	2769.900000	
101776.000000	0.000000	27257.333333	0.000000	3683.166667	4616.500000	
101900.000000	0.000000	27257.333333	0.000000	3683.166667	4616.500000	
104502.000000	699.400000	16354.400000	295.900000	2209.900000	2769.900000	
104859.000000	874.250000	20443.000000	0.000000	2762.375000	3462.375000	
104910.000000	699.400000	16354.400000	362.700000	2209.900000	2769.900000	
105057.000000	699.400000	16354.400000	362.700000	2209.900000	2769.900000	
105239.000000	699.400000	16354.400000	362.700000	2209.900000	2769.900000	
105304.000000	699.400000	16354.400000	362.700000	2209.900000	2769.900000	
106158.000000	699.400000	16354.400000	362.700000	2209.900000	2769.900000	
106572.000000	699.400000	16354.400000	362.700000	2209.900000	2769.900000	
106824.000000	0.000000	27257.333333	0.000000	3683.166667	4616.500000	
106989.000000	0.000000	20443.000000	512.875000	2762.375000	3462.375000	
107266.000000	366.100000	16354.400000	410.300000	2209.900000	2769.900000	
107346.000000	366.100000	16354.400000	410.300000	2209.900000	2769.900000	
107414.000000	366.100000	16354.400000	410.300000	2209.900000	2769.900000	
107590.000000	366.100000	16354.400000	410.300000	2209.900000	2769.900000	
107938.000000	366.100000	16354.400000	410.300000	2209.900000	2769.900000	
108010.000000	457.625000	0.000000	512.875000	2750.750000	3450.750000	
108281.000000	366.100000	1051.100000	410.300000	2200.600000	2760.600000	
108643.000000	366.100000	1051.100000	410.300000	2200.600000	2760.600000	
109273.000000	0.000000	1751.833333	0.000000	3667.666667	4601.000000	
109441.000000	248.800000	1051.100000	248.800000	2200.600000	2760.600000	
109732.000000	248.800000	1051.100000	248.800000	2200.600000	2760.600000	
110021.000000	248.800000	1051.100000	248.800000	2200.600000	2760.600000	
110022.000000	248.800000	1051.100000	248.800000	2200.600000	2760.600000	
110213.000000	248.800000	1051.100000	248.800000	2200.600000	2760.600000	
110258.000000	248.800000	1051.100000	248.800000	2200.600000	2760.600000	
110944.000000	0.000000	2627.750000	0.000000	0.000000	6901.500000	
111200.000000	0.000000	1787.166667	0.000000	4759.333333	4636.333333	
111260.000000	151.000000	1072.300000	151.000000	2855.600000	2781.800000	
111494.000000	151.000000	1072.300000	151.000000	2855.600000	2781.800000	
