bp	data_stats...col_RsbN...k.
26202	4.359273
26204	4.22919
26213	4.22919
118339	3.524099
118357	3.55301
136307	3.001866
149623	3.233173
149632	3.002012
149635	3.002012
285865	3.735219
285875	3.689729
293020	3.105149
293057	3.199828
325085	3.830908
325114	3.189553
333228	3.008948
392152	4.624135
392156	4.519274
403378	3.203838
403424	3.222039
439563	3.12798
439569	3.12798
439599	3.305995
454119	5.393558
454120	5.351109
454374	4.981367
454376	4.981367
519277	3.780652
519298	3.823606
604417	3.117901
631361	4.546736
631366	4.537679
638397	3.387299
638422	3.477029
642996	3.179084
643028	3.179498
643029	3.136578
643360	2.999743
643403	2.999743
644630	3.558641
644648	3.558539
680471	3.312273
680507	3.269232
696623	3.265234
696645	3.227684
710633	3.899865
710654	3.311385
711123	3.1673
733644	3.436507
737418	3.031229
737780	3.630265
761659	3.226634
956819	3.826411
956843	3.73372
1043251	3.620942
1043266	3.577346
1068964	3.515221
1068987	3.471956
1071338	3.626273
1071359	3.731599
1079123	3.10249
1079157	3.107155
1081891	3.003954
1081928	3.093403
1082046	3.915792
1082056	3.869308
1082308	3.966303
1082316	4.05544
1090995	3.532312
1091000	3.532312
1091012	3.532312
1103482	3.920317
1103484	3.910937
1103503	3.814258
1104573	3.026933
1104584	3.026424
1104653	3.032046
1114669	3.036018
1186837	3.129329
1186902	3.22603
1281712	3.291209
1281739	3.304649
1817344	3.047198
1817350	3.005189
1822006	3.427957
1822010	3.427957
1827181	3.761984
1827185	3.851098
