bp	data_stats...col_RsbN...k.
86483	4.484895
86489	4.484895
90893	3.029502
136243	3.15145
148800	3.499522
148814	3.499522
149575	3.439946
149590	3.439946
281979	3.097836
285865	3.831226
285875	3.831226
285900	3.053111
316764	3.017198
316812	3.892567
325343	3.870949
325355	3.870949
326271	4.103178
326279	4.103178
392152	4.381886
392156	4.299733
439599	3.063092
453971	3.022698
454040	3.902835
454130	3.184833
454374	5.051324
454376	5.051324
498024	3.259079
498066	3.382011
498413	3.07096
498430	3.069786
519277	3.621539
519298	3.621539
631361	4.588978
631366	4.588978
642812	3.227568
642814	3.227568
642823	3.227568
642883	3.333909
643360	3.534878
643403	3.534878
644630	4.023483
644648	3.983909
680471	3.642349
680507	3.602779
686932	3.767924
686944	3.767924
686951	3.807181
694195	3.128222
694210	3.207799
694252	3.208028
801983	3.306139
802027	3.306139
802991	3.024886
803006	3.024886
803063	3.024886
1064238	3.071332
1064406	3.234852
1198977	3.074947
1199025	3.074947
1375621	3.03174
1447507	3.333465
1447527	4.388182
1449975	4.00666
1450364	3.206695
1919495	4.08114
1919497	4.118841
1940320	3.438362
1940321	3.438362
1940324	3.438362
1960943	4.07097
1960946	4.459751
1984913	3.283444
1984916	3.283444
1984926	3.283444
