Position	iESd_BRG	iESa_BRG	iESd_BRM	iESa_BRM	iESd_CHCU	iESa_CHCU	iESd_CHCA	iESa_CHCA	iESd_CHFR	iESa_CHFR	iESd_TXL	iESa_TXL	log(iESd_BRG)	log(iESa_BRG)	log(iESd_BRM)	log(iESa_BRM)	log(iESd_CHCU)	log(iESa_CHCU)	log(iESd_CHCA)	log(iESa_CHCA)	log(iESd_CHFR)	log(iESa_CHFR)	log(iESd_TXL)	log(iESa_TXL)	log_iRESda(BRG)	log_iRESda(BRM)	log_iRESda(CHCU)	log_iRESda(CHCA)	log_iRESda(CHFR)	log_iRESda(TXL)	log_iRESdaN(BRG)	log_iRESdaN(BRM)	log_iRESdaN(CHCU)	log_iRESdaN(CHCA)	log_iRESdaN(CHFR)	log_iRESdaN(TXL)	
13233.000000	NA	NA	194.000000	11229.444444	2581.000000	3561.750000	NA	NA	NA	NA	NA	NA	NA	NA	5.267858	9.326295	7.855932	8.178007	NA	NA	NA	NA	NA	NA	NA	-4.058436	-0.322075	NA	NA	NA	NA	-2.066091	1.561676	NA	NA	NA	
13621.000000	NA	NA	NA	NA	2435.500000	5631.714286	2193.000000	4405.000000	NA	NA	NA	NA	NA	NA	NA	NA	7.797907	8.636169	7.693026	8.390496	NA	NA	NA	NA	NA	NA	-0.838262	-0.697470	NA	NA	NA	NA	1.192618	1.103452	NA	NA	
18007.000000	NA	NA	2193.500000	14041.428571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.693254	9.549767	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.856514	NA	NA	NA	NA	NA	-0.546940	NA	NA	NA	NA	
18008.000000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
18026.000000	NA	NA	NA	NA	181.000000	4790.818182	9.000000	3308.500000	181.000000	8366.833333	NA	NA	NA	NA	NA	NA	5.198497	8.474456	2.197225	8.104250	5.198497	9.032031	NA	NA	NA	NA	-3.275959	-5.907026	-3.833534	NA	NA	NA	-0.550263	-2.688793	0.382680	NA	
18370.000000	NA	NA	229.500000	12725.812500	229.500000	7404.687500	57.500000	108.611111	NA	NA	NA	NA	NA	NA	5.435903	9.451388	5.435903	8.909869	4.051785	4.687774	NA	NA	NA	NA	NA	-4.015485	-3.473965	-0.635989	NA	NA	NA	-2.036458	-0.691831	1.148207	NA	NA	
18485.000000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
26202.000000	NA	NA	3865.000000	15139.642857	3859.500000	8051.937500	NA	NA	3859.500000	9740.000000	NA	NA	NA	NA	8.259717	9.625072	8.258293	8.993668	NA	NA	8.258293	9.183996	NA	NA	NA	-1.365355	-0.735375	NA	-0.925703	NA	NA	-0.208079	1.266179	NA	2.041463	NA	
26204.000000	NA	NA	3865.000000	11806.777778	5.500000	4689.590909	142.750000	1332.600000	NA	NA	NA	NA	NA	NA	8.259717	9.376429	1.704748	8.453101	4.961095	7.194887	NA	NA	NA	NA	NA	-1.116712	-6.748353	-2.233792	NA	NA	NA	-0.036536	-3.032919	-0.014899	NA	NA	
26213.000000	NA	NA	22.000000	11865.388889	NA	NA	279.000000	1968.916667	NA	NA	NA	NA	NA	NA	3.091042	9.381381	NA	NA	5.631212	7.585239	NA	NA	NA	NA	NA	-6.290338	NA	-1.954027	NA	NA	NA	-3.605926	NA	0.188754	NA	NA	
