Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	
13233.000000	0.413177	0.162005	0.162005	0.475896	0.405364	
13621.000000	0.395998	0.155270	0.155270	0.456109	0.388510	
18007.000000	0.424469	0.166433	0.166433	0.488902	0.416443	
18008.000000	0.413662	0.162196	0.162196	0.476455	0.405841	
18026.000000	0.265040	0.103921	0.103921	0.305272	0.260028	
18370.000000	0.294619	0.115519	0.115519	0.339342	0.289049	
18485.000000	0.491032	0.000000	0.000000	0.565569	0.481748	
26202.000000	0.222770	1.100690	0.076434	0.276234	0.218557	
26204.000000	0.372475	1.840374	0.127799	0.461868	0.365432	
26213.000000	0.372475	1.840374	0.127799	0.461868	0.365432	
26248.000000	0.515310	2.546113	0.176807	0.638984	0.000000	
26714.000000	0.000000	1.751381	0.121619	0.439534	1.620691	
26730.000000	0.014356	2.739581	0.190242	0.687537	2.535151	
26753.000000	0.012339	2.354833	0.163524	0.590979	2.179114	
27025.000000	0.015424	2.943542	0.000000	0.738724	2.723892	
27105.000000	0.000000	3.169778	0.000000	0.795501	2.933246	
28389.000000	0.140339	2.878799	0.031929	0.722476	2.663981	
28423.000000	0.155678	3.193438	0.035419	0.801439	2.955141	
28449.000000	0.155678	3.193438	0.035419	0.801439	2.955141	
28467.000000	0.155678	3.193438	0.035419	0.801439	2.955141	
28479.000000	0.142634	2.925867	0.000000	0.734288	2.707536	
28492.000000	0.155828	3.196518	0.057379	0.802212	2.957991	
30829.000000	0.144680	2.792893	0.000000	0.000000	2.746374	
31047.000000	0.000000	2.654900	0.027541	1.560534	2.610680	
31060.000000	0.017920	2.108592	0.021874	1.239417	2.073471	
31100.000000	0.017920	2.108592	0.021874	1.239417	2.073471	
31516.000000	0.020461	2.407645	0.024976	1.415199	2.367543	
31566.000000	0.020461	2.407645	0.024976	1.415199	2.367543	
31567.000000	0.020461	2.407645	0.024976	1.415199	2.367543	
31569.000000	0.020461	2.407645	0.024976	1.415199	2.367543	
31585.000000	0.000000	3.454226	0.000000	2.030372	3.396692	
35348.000000	0.289939	1.772527	0.106051	1.041880	1.743003	
35349.000000	0.206184	1.260491	0.075416	0.740908	1.239496	
37087.000000	0.185968	1.136906	0.068022	0.668266	1.117970	
37092.000000	0.185968	1.136906	0.068022	0.668266	1.117970	
37096.000000	0.185968	1.136906	0.068022	0.668266	1.117970	
37137.000000	0.148433	0.907436	0.054292	0.533385	0.892321	
37167.000000	0.153416	0.937898	0.000000	0.551291	0.922276	
49918.000000	0.000000	0.806624	0.084546	0.474129	0.793189	
49921.000000	0.082649	1.104475	0.115766	0.649203	1.086078	
50077.000000	0.083951	1.121875	0.000000	0.659431	1.103189	
50089.000000	0.080755	1.079170	0.049290	0.634329	1.061195	
51708.000000	0.103581	1.384208	0.063223	0.813629	1.361153	
51765.000000	0.103581	1.384208	0.063223	0.813629	1.361153	
51769.000000	0.103581	1.384208	0.063223	0.813629	1.361153	
51773.000000	0.103581	1.384208	0.063223	0.813629	1.361153	
51776.000000	0.103581	1.384208	0.063223	0.813629	1.361153	
54017.000000	0.109501	1.463316	0.000000	0.860128	1.438942	
54341.000000	0.103231	1.379528	0.004065	0.810878	1.356551	
54380.000000	0.093504	1.249533	0.000000	0.734468	1.228721	
54487.000000	0.088120	1.177588	0.057236	0.692179	1.157974	
54571.000000	0.000000	0.540582	0.026275	0.317751	0.531578	
54937.000000	0.514508	1.006659	0.048928	0.591708	0.989892	
54952.000000	0.361845	0.707968	0.034411	0.416139	0.696176	
55097.000000	0.437451	0.855895	0.041601	0.503090	0.841639	
55128.000000	0.389925	0.762907	0.037081	0.448432	0.750200	
56327.000000	0.429041	0.839439	0.040801	0.493417	0.825458	
57019.000000	0.429041	0.839439	0.040801	0.493417	0.825458	
57836.000000	0.384538	0.752366	0.000000	0.442236	0.739835	
57847.000000	0.501813	0.981822	0.006097	0.577109	0.965468	
58601.000000	0.453412	0.887123	0.000000	0.521445	0.872347	
58650.000000	0.402021	0.786574	0.000000	0.462343	0.773473	
58703.000000	0.404889	0.792185	0.000000	0.465641	0.778990	
58704.000000	0.431930	0.845092	0.000165	0.496740	0.831016	
58713.000000	0.430490	0.842275	0.000164	0.495084	0.828246	
58718.000000	0.468660	0.916956	0.000000	0.538981	0.901683	
59102.000000	0.416710	0.815314	0.002561	0.479236	0.801734	
59105.000000	0.308554	0.603701	0.000000	0.354852	0.593646	
59324.000000	0.298482	0.583995	0.256194	0.343269	0.574268	
59350.000000	0.292853	0.572981	0.251362	0.336795	0.563438	
66868.000000	0.241899	0.473287	0.207627	0.278195	0.465404	
66892.000000	0.250948	0.490991	0.215394	0.288602	0.482813	
66930.000000	0.313613	0.613598	0.269181	0.360669	0.603378	
66938.000000	0.228493	0.447057	0.196120	0.262777	0.439611	
67135.000000	0.196010	0.383503	0.168240	0.225420	0.377115	
67156.000000	0.393317	0.769543	0.337593	0.000000	0.756725	
67167.000000	0.314653	0.615634	0.270074	0.206276	0.605380	
70077.000000	0.225243	0.440699	0.193331	0.147662	0.433359	
70093.000000	0.196010	0.383503	0.168240	0.128497	0.377115	
70219.000000	0.320651	0.627369	0.275222	0.210208	0.616919	
70257.000000	0.320651	0.627369	0.275222	0.210208	0.616919	
71324.000000	0.258189	0.505160	0.221610	0.169260	0.496746	
71345.000000	0.196010	0.383503	0.168240	0.128497	0.377115	
71431.000000	0.196010	0.383503	0.168240	0.128497	0.377115	
73636.000000	0.196010	0.383503	0.168240	0.128497	0.377115	
75311.000000	0.239123	0.467856	0.205245	0.156761	0.460064	
75324.000000	0.253964	0.496893	0.217983	0.166490	0.488617	
76450.000000	0.270166	0.528594	0.231890	0.177112	0.519789	
76471.000000	0.270166	0.528594	0.231890	0.177112	0.519789	
76474.000000	0.270166	0.528594	0.231890	0.177112	0.519789	
85623.000000	0.250208	0.489545	0.214759	0.164028	0.481391	
86000.000000	0.206984	0.404973	0.177659	0.135691	0.398228	
86475.000000	0.000000	1.362348	0.000000	0.456471	1.339656	
86483.000000	0.000000	1.503221	0.000000	0.503673	1.478183	
86489.000000	0.000000	1.256494	0.000000	0.421004	1.235566	
86688.000000	0.000000	2.340610	0.000000	0.784250	2.301624	
86779.000000	0.024337	1.404366	0.024337	0.470550	1.380975	
87329.000000	0.030422	1.755457	0.030422	0.588188	0.000000	
87756.000000	0.024337	1.404366	0.024337	0.470550	0.005893	
87801.000000	0.017833	1.029051	0.017833	0.344796	0.004318	
