Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	
13233.000000	0.210332	0.082471	0.082471	0.242260	0.206355	
13621.000000	0.210332	0.082471	0.082471	0.242260	0.206355	
18007.000000	0.210332	0.082471	0.082471	0.242260	0.206355	
18008.000000	0.210332	0.082471	0.082471	0.242260	0.206355	
18026.000000	0.210332	0.082471	0.082471	0.242260	0.206355	
18370.000000	0.210332	0.082471	0.082471	0.242260	0.206355	
18485.000000	0.293134	0.000000	0.000000	0.337631	0.287591	
26202.000000	0.208709	1.031218	0.071610	0.258799	0.204763	
26204.000000	0.227230	1.122730	0.077965	0.281765	0.222934	
26213.000000	0.227230	1.122730	0.077965	0.281765	0.222934	
26248.000000	0.301313	1.488770	0.103383	0.373628	0.000000	
26714.000000	0.000000	0.835324	0.058007	0.209637	0.772991	
26730.000000	0.003642	0.694940	0.048258	0.174405	0.643083	
26753.000000	0.002498	0.476619	0.033097	0.119614	0.441053	
27025.000000	0.003466	0.661500	0.000000	0.166013	0.612138	
27105.000000	0.000000	0.794365	0.000000	0.199357	0.735088	
28389.000000	0.032451	0.665682	0.007383	0.167063	0.616008	
28423.000000	0.032451	0.665682	0.007383	0.167063	0.616008	
28449.000000	0.032451	0.665682	0.007383	0.167063	0.616008	
28467.000000	0.032451	0.665682	0.007383	0.167063	0.616008	
28479.000000	0.031845	0.653233	0.000000	0.163938	0.604488	
28492.000000	0.031814	0.652600	0.011715	0.163779	0.603902	
30829.000000	0.053023	1.023552	0.000000	0.000000	1.006503	
31047.000000	0.000000	0.767664	0.007963	0.451228	0.754877	
31060.000000	0.004851	0.570794	0.005921	0.335509	0.561286	
31100.000000	0.004851	0.570794	0.005921	0.335509	0.561286	
31516.000000	0.005286	0.621979	0.006452	0.365595	0.611619	
31566.000000	0.005286	0.621979	0.006452	0.365595	0.611619	
31567.000000	0.005286	0.621979	0.006452	0.365595	0.611619	
31569.000000	0.005286	0.621979	0.006452	0.365595	0.611619	
31585.000000	0.000000	0.747540	0.000000	0.439399	0.735088	
35348.000000	0.088126	0.538755	0.032234	0.316677	0.529781	
35349.000000	0.095467	0.583630	0.034919	0.343054	0.573909	
37087.000000	0.095467	0.583630	0.034919	0.343054	0.573909	
37092.000000	0.095467	0.583630	0.034919	0.343054	0.573909	
37096.000000	0.095467	0.583630	0.034919	0.343054	0.573909	
37137.000000	0.064448	0.394001	0.023573	0.231592	0.387439	
37167.000000	0.070028	0.428110	0.000000	0.251641	0.420980	
49918.000000	0.000000	0.496844	0.052077	0.292042	0.488568	
49921.000000	0.029743	0.397475	0.041661	0.233633	0.390854	
50077.000000	0.032036	0.428110	0.000000	0.251641	0.420980	
50089.000000	0.029015	0.387744	0.017710	0.227913	0.381285	
51708.000000	0.030827	0.411961	0.018816	0.242148	0.405100	
51765.000000	0.030827	0.411961	0.018816	0.242148	0.405100	
51769.000000	0.030827	0.411961	0.018816	0.242148	0.405100	
51773.000000	0.033630	0.449408	0.020526	0.264159	0.441922	
51776.000000	0.030827	0.411961	0.018816	0.242148	0.405100	
54017.000000	0.037240	0.497652	0.000000	0.292517	0.489363	
54341.000000	0.032483	0.434083	0.001279	0.255151	0.426853	
54380.000000	0.034215	0.457236	0.000000	0.268760	0.449620	
54487.000000	0.032338	0.432143	0.021004	0.254011	0.424945	
54571.000000	0.000000	0.500475	0.024325	0.294176	0.492139	
54937.000000	0.207030	0.405063	0.019688	0.238094	0.398317	
54952.000000	0.222858	0.436033	0.021193	0.256298	0.428771	
55097.000000	0.240334	0.470224	0.022855	0.276395	0.462392	
55128.000000	0.240334	0.470224	0.022855	0.276395	0.462392	
56327.000000	0.240334	0.470224	0.022855	0.276395	0.462392	
57019.000000	0.240334	0.470224	0.022855	0.276395	0.462392	
57836.000000	0.254642	0.498220	0.000000	0.292850	0.489921	
57847.000000	0.244394	0.478168	0.002969	0.281064	0.470204	
58601.000000	0.254642	0.498220	0.000000	0.292850	0.489921	
58650.000000	0.231879	0.453683	0.000000	0.266672	0.446127	
58703.000000	0.257447	0.503708	0.000000	0.296076	0.495318	
58704.000000	0.247685	0.484608	0.000094	0.284849	0.476536	
58713.000000	0.211140	0.413106	0.000080	0.242821	0.406225	
58718.000000	0.250194	0.489517	0.000000	0.287735	0.481363	
59102.000000	0.203004	0.397188	0.001248	0.233465	0.390572	
59105.000000	0.230355	0.450700	0.000000	0.264919	0.443193	
59324.000000	0.198503	0.388380	0.170379	0.228288	0.381912	
59350.000000	0.211873	0.414541	0.181856	0.243664	0.407636	
66868.000000	0.211873	0.414541	0.181856	0.243664	0.407636	
66892.000000	0.211873	0.414541	0.181856	0.243664	0.407636	
66930.000000	0.184695	0.361364	0.158528	0.212408	0.355346	
66938.000000	0.209398	0.409698	0.179731	0.240818	0.402874	
67135.000000	0.196133	0.383744	0.168346	0.225563	0.377353	
67156.000000	0.189189	0.370158	0.162386	0.000000	0.363993	
67167.000000	0.151352	0.296127	0.129908	0.099221	0.291194	
70077.000000	0.192007	0.375672	0.164804	0.125873	0.369415	
70093.000000	0.192007	0.375672	0.164804	0.125873	0.369415	
70219.000000	0.225243	0.440698	0.193331	0.147661	0.433358	
70257.000000	0.225243	0.440698	0.193331	0.147661	0.433358	
71324.000000	0.214658	0.419988	0.184246	0.140722	0.412993	
