bp	data_stats...col_RsbN...k.
286000	-3.600942
286132	-4.095902
286153	-3.418303
286190	-3.445413
604446	-3.646338
945359	3.123979
945572	3.063744
945803	3.063744
945937	3.063744
946040	3.063744
947027	3.063744
947543	3.059772
947823	3.033377
964172	3.759968
1268525	3.652075
1268874	3.061581
1375621	-3.490979
1817957	-3.07703
1891033	-3.50701
1891222	-3.012713
1891235	-4.660261
1891238	-4.381132
1891248	-4.791029
1891310	-3.004461
1891613	-4.353186
1891849	-3.874854
1891970	-4.330046
1919451	-3.115768
1919606	-4.003942
1919708	-3.936967
1919711	-3.79332
1919984	-3.454816
1919998	-3.964457
1920024	-3.044805
1920094	-3.270716
1920187	-3.026877
1920814	-3.32681
1920823	-3.155999
1920837	-3.117824
1920840	-3.117824
1921068	-3.204407
1921165	-3.117824
1921181	-3.117824
1921184	-3.232412
1921292	-3.337107
1921310	-3.133398
1921421	-3.072289
1921431	-3.277381
2018040	-3.393411
2018096	-3.205177
2018204	-3.531297
2018217	-3.531297
2018394	-3.451511
2058589	-3.124885
2058713	-4.440264
2058883	-4.713164
2058887	-4.644351
2058931	-5.466248
2058943	-4.7989
2059029	-4.436084
2059104	-4.420021
2059180	-4.373713
2059215	-4.539059
2059258	-3.729605
2059318	-3.959679
2059485	-3.538527
2059681	-3.548352
2059880	-3.721138
