Position	iRESk_prop_ind1	iRESk_prop_ind2	iRESk_prop_ind3	iRESk_prop_ind4	iRESk_prop_ind5	
88645.000000	0.000000	0.032905	0.000000	0.000000	0.000000	
88900.000000	0.000000	0.065070	0.000000	0.000000	0.000000	
89168.000000	0.000000	0.034650	0.000000	0.000000	0.000000	
89428.000000	0.000000	0.014558	0.000000	0.000000	0.000000	
89519.000000	0.000000	0.027630	0.000000	0.000000	0.000000	
90411.000000	0.000000	0.071338	0.000000	0.000000	0.000000	
91321.000000	0.000000	0.021273	0.000000	0.000000	0.000000	
91948.000000	0.001048	0.002014	0.000000	0.000000	0.000000	
91978.000000	0.000000	0.004029	0.000000	0.000000	0.000000	
95973.000000	0.000000	0.014128	0.000000	0.000000	0.000000	
96913.000000	0.000000	0.009214	0.000000	0.000000	0.000000	
97206.000000	0.000000	0.011550	0.000000	0.000000	0.000000	
97610.000000	0.000000	0.019755	0.000000	0.000000	0.000000	
111200.000000	0.000000	0.019588	0.000000	0.000000	0.000000	
131597.000000	NA	NA	NA	NA	NA	
136154.000000	0.000000	0.028653	0.000000	0.000000	0.000000	
146277.000000	0.000000	0.057105	0.000000	0.000000	0.000000	
148754.000000	0.000000	0.015155	0.000000	0.000000	0.000000	
149623.000000	0.000000	0.005031	0.000000	0.000000	0.000000	
153465.000000	0.000000	0.073375	0.000000	0.000000	0.000000	
153927.000000	0.000000	0.010297	0.000000	0.000000	0.000000	
153977.000000	0.000000	0.008924	0.000000	0.000000	0.000000	
155623.000000	0.000000	0.030333	0.000000	0.000000	0.000000	
159357.000000	0.000000	0.415745	0.000000	0.000000	0.000000	
160086.000000	0.000000	0.374128	0.000000	0.000000	0.000000	
160101.000000	0.000000	0.374128	0.000000	0.000000	0.000000	
160396.000000	0.000000	0.037538	0.000000	0.000000	0.000000	
163085.000000	NA	NA	NA	NA	NA	
173462.000000	0.000000	0.047387	0.000000	0.000000	0.000000	
182415.000000	0.000000	0.000000	0.000000	0.138078	0.000000	
182705.000000	NA	NA	NA	NA	NA	
183050.000000	NA	NA	NA	NA	NA	
183533.000000	NA	NA	NA	NA	NA	
195136.000000	NA	NA	NA	NA	NA	
197087.000000	NA	NA	NA	NA	NA	
203193.000000	0.250000	0.000000	0.000000	0.250000	0.000000	
204762.000000	NA	NA	NA	NA	NA	
218200.000000	NA	NA	NA	NA	NA	
221242.000000	NA	NA	NA	NA	NA	
225651.000000	NA	NA	NA	NA	NA	
227307.000000	NA	NA	NA	NA	NA	
230727.000000	NA	NA	NA	NA	NA	
233024.000000	NA	NA	NA	NA	NA	
234450.000000	NA	NA	NA	NA	NA	
235121.000000	NA	NA	NA	NA	NA	
236787.000000	NA	NA	NA	NA	NA	
241235.000000	NA	NA	NA	NA	NA	
246782.000000	NA	NA	NA	NA	NA	
250316.000000	NA	NA	NA	NA	NA	
268323.000000	NA	NA	NA	NA	NA	
271849.000000	0.000702	0.000000	0.000702	0.000702	0.000000	
275724.000000	NA	NA	NA	NA	NA	
279528.000000	NA	NA	NA	NA	NA	
280257.000000	NA	NA	NA	NA	NA	
281979.000000	0.000000	0.000000	0.000000	0.000000	0.021647	
285840.000000	NA	NA	NA	NA	NA	
285882.000000	NA	NA	NA	NA	NA	
285900.000000	NA	NA	NA	NA	NA	
292782.000000	NA	NA	NA	NA	NA	
325322.000000	NA	NA	NA	NA	NA	
331996.000000	NA	NA	NA	NA	NA	
333191.000000	NA	NA	NA	NA	NA	
333228.000000	0.000000	0.000000	0.000000	0.000000	0.740876	
349504.000000	0.000000	0.000000	0.000000	0.000000	0.016546	
359001.000000	NA	NA	NA	NA	NA	
364583.000000	0.030336	0.000000	0.030336	0.000000	0.030336	
396336.000000	0.000000	0.000000	0.000000	0.000000	0.012256	
408671.000000	NA	NA	NA	NA	NA	
437386.000000	NA	NA	NA	NA	NA	
454040.000000	NA	NA	NA	NA	NA	
513331.000000	0.000000	0.000000	0.015794	0.015794	0.000000	
526913.000000	NA	NA	NA	NA	NA	
538253.000000	NA	NA	NA	NA	NA	
567272.000000	NA	NA	NA	NA	NA	
569662.000000	NA	NA	NA	NA	NA	
587203.000000	NA	NA	NA	NA	NA	
597359.000000	NA	NA	NA	NA	NA	
604417.000000	NA	NA	NA	NA	NA	
604817.000000	NA	NA	NA	NA	NA	
610918.000000	NA	NA	NA	NA	NA	
611295.000000	NA	NA	NA	NA	NA	
611449.000000	NA	NA	NA	NA	NA	
611869.000000	0.000000	0.000000	0.000000	0.007900	0.000000	
611977.000000	NA	NA	NA	NA	NA	
612128.000000	NA	NA	NA	NA	NA	
614752.000000	NA	NA	NA	NA	NA	
614913.000000	NA	NA	NA	NA	NA	
617103.000000	NA	NA	NA	NA	NA	
623559.000000	NA	NA	NA	NA	NA	
629048.000000	0.033667	0.031952	0.000000	0.000000	0.031952	
631315.000000	NA	NA	NA	NA	NA	
631407.000000	NA	NA	NA	NA	NA	
