Position	iES_BRG	iES_BRM	iES_CHCU	iES_CHCA	iES_CHFR	iES_TXL	log(iES_BRG)	log(iES_BRM)	log(iES_CHCU)	log(iES_CHCA)	log(iES_CHFR)	log(iES_TXL)	log_Rsb(BRG/BRM)	log_Rsb(BRG/CHCU)	log_Rsb(BRG/CHCA)	log_Rsb(BRG/CHFR)	log_Rsb(BRG/TXL)	log_Rsb(BRM/CHCU)	log_Rsb(BRM/CHCA)	log_Rsb(BRM/CHFR)	log_Rsb(BRM/TXL)	log_Rsb(CHCU/CHCA)	log_Rsb(CHCU/CHFR)	log_Rsb(CHCU/TXL)	log_Rsb(CHCA/CHFR)	log_Rsb(CHCA/TXL)	log_Rsb(CHFR/TXL)	log_RsbN(BRG/BRM)	log_RsbN(BRG/CHCU)	log_RsbN(BRG/CHCA)	log_RsbN(BRG/CHFR)	log_RsbN(BRG/TXL)	log_RsbN(BRM/CHCU)	log_RsbN(BRM/CHCA)	log_RsbN(BRM/CHFR)	log_RsbN(BRM/TXL)	log_RsbN(CHCU/CHCA)	log_RsbN(CHCU/CHFR)	log_RsbN(CHCU/TXL)	log_RsbN(CHCA/CHFR)	log_RsbN(CHCA/TXL)	log_RsbN(CHFR/TXL)	
88645.000000	45891.750000	10419.562500	49011.666667	27803.000000	73388.590909	NA	10.734041	9.251440	10.799814	10.232899	11.203524	NA	1.482600	-0.065773	0.501141	-0.469483	NA	-1.548373	-0.981459	-1.952083	NA	0.566914	-0.403710	NA	-0.970625	NA	NA	1.412457	0.413955	0.735051	0.962045	NA	-1.485270	-0.705925	-0.267704	NA	0.620475	0.645422	NA	0.196657	NA	NA	
88900.000000	20368.200000	13872.416667	39280.590909	8577.000000	67324.541667	113.000000	9.921730	9.537658	10.578486	9.056839	11.117280	4.727388	0.384072	-0.656756	0.864891	-1.195550	5.194342	-1.040828	0.480818	-1.579622	4.810270	1.521646	-0.538794	5.851098	-2.060441	4.329452	6.389892	0.601488	-0.030252	0.961714	0.475118	2.950210	-0.897848	0.631915	0.075554	2.720403	1.597625	0.518778	3.762109	-0.695252	2.977034	2.531333	
89168.000000	20368.200000	13905.583333	47325.687500	1578.600000	62093.730769	NA	9.921730	9.540046	10.764809	7.364294	11.036400	NA	0.381684	-0.843078	2.557436	-1.114670	NA	-1.224763	2.175752	-1.496355	NA	3.400515	-0.271592	NA	-3.672107	NA	NA	0.599725	-0.170300	2.016390	0.529359	NA	-1.110730	2.182613	0.152293	NA	3.520611	0.769286	NA	-2.014245	NA	NA	
89428.000000	33533.666667	9196.111111	31335.000000	3108.500000	68010.083333	NA	10.420305	9.126536	10.352491	8.041896	11.127411	NA	1.293769	0.067814	2.378410	-0.707106	NA	-1.225955	1.084640	-2.000875	NA	2.310595	-0.774920	NA	-3.085516	NA	NA	1.273056	0.514364	1.904833	0.802687	NA	-1.112110	1.184353	-0.312670	NA	2.405099	0.297405	NA	-1.534177	NA	NA	
89519.000000	20320.400000	20448.500000	48061.312500	1543.700000	68466.227273	NA	9.919381	9.925665	10.780233	7.341937	11.134096	NA	-0.006284	-0.860852	2.577443	-1.214715	NA	-0.854568	2.583727	-1.208431	NA	3.438295	-0.353863	NA	-3.792158	NA	NA	0.313314	-0.183659	2.028857	0.462265	NA	-0.682275	2.555870	0.417641	NA	3.559279	0.692155	NA	-2.112496	NA	NA	
90411.000000	33533.666667	9857.000000	39510.800000	2660.625000	63331.416667	NA	10.420305	9.195937	10.584329	7.886316	11.056137	NA	1.224368	-0.164024	2.533989	-0.635832	NA	-1.388392	1.309621	-1.860200	NA	2.698013	-0.471807	NA	-3.169820	NA	NA	1.221822	0.340105	2.001779	0.850486	NA	-1.300111	1.390188	-0.183025	NA	2.801614	0.581579	NA	-1.603172	NA	NA	
91321.000000	33533.666667	9686.722222	35048.954545	2613.250000	50879.633333	NA	10.420305	9.178511	10.464501	7.868350	10.837218	NA	1.241794	-0.044196	2.551955	-0.416913	NA	-1.285990	1.310161	-1.658707	NA	2.596151	-0.372717	NA	-2.968868	NA	NA	1.234686	0.430173	2.012974	0.997301	NA	-1.181593	1.390682	0.002670	NA	2.697360	0.674479	NA	-1.438712	NA	NA	
91948.000000	25156.500000	9691.277778	32124.666667	1470.400000	50740.733333	NA	10.132872	9.178982	10.377379	7.293290	10.834484	NA	0.953890	-0.244508	2.839582	-0.701613	NA	-1.198398	1.885692	-1.655503	NA	3.084090	-0.457105	NA	-3.541195	NA	NA	1.022146	0.279610	2.192203	0.806371	NA	-1.080216	1.917236	0.005623	NA	3.196756	0.595363	NA	-1.907106	NA	NA	
91978.000000	33533.666667	9691.277778	39438.000000	1807.875000	58479.461538	NA	10.420305	9.178982	10.582485	7.499907	10.976431	NA	1.241324	-0.162180	2.920398	-0.556126	NA	-1.403504	1.679074	-1.797449	NA	3.082578	-0.393946	NA	-3.476523	NA	NA	1.234339	0.341491	2.242562	0.903940	NA	-1.317601	1.728201	-0.125194	NA	3.195208	0.654576	NA	-1.854179	NA	NA	
95973.000000	33533.666667	12457.888889	39342.350000	2012.166667	58388.538462	NA	10.420305	9.430109	10.580057	7.606967	10.974875	NA	0.990196	-0.159752	2.813338	-0.554570	NA	-1.149947	1.823142	-1.544766	NA	2.973089	-0.394818	NA	-3.367908	NA	NA	1.048948	0.343317	2.175850	0.904983	NA	-1.024140	1.860009	0.107678	NA	3.083149	0.653758	NA	-1.765287	NA	NA	
96913.000000	20304.200000	19965.000000	24188.807692	1145.583333	35654.857143	253.000000	9.918583	9.901736	10.093645	7.043669	10.481641	5.533389	0.016847	-0.175062	2.874914	-0.563058	4.385194	-0.191909	2.858067	-0.579905	4.368347	3.049976	-0.387995	4.560256	-3.437971	1.510280	4.948251	0.330390	0.331808	2.214219	0.899291	2.536721	0.084673	2.806863	0.996887	2.469834	3.161841	0.660155	2.919339	-1.822628	0.880724	1.851923	
