Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	
13233.000000	0.413177	0.162005	0.162005	0.475896	0.405364	
13621.000000	0.395998	0.155270	0.155270	0.456109	0.388510	
18007.000000	0.424469	0.166433	0.166433	0.488902	0.416443	
18008.000000	0.413662	0.162196	0.162196	0.476455	0.405841	
18026.000000	0.265040	0.103921	0.103921	0.305272	0.260028	
18370.000000	0.294619	0.115519	0.115519	0.339342	0.289049	
18485.000000	0.491032	0.000000	0.000000	0.565569	0.481748	
26202.000000	0.222770	1.439301	0.076434	0.276234	0.218557	
26204.000000	0.372475	2.406537	0.127799	0.461868	0.365432	
26213.000000	0.372475	2.406537	0.127799	0.461868	0.365432	
26248.000000	0.515310	3.329385	0.176807	0.638984	0.000000	
26714.000000	0.000000	2.290166	0.121619	0.439534	1.620691	
26730.000000	0.014356	3.582372	0.190242	0.687537	2.535151	
26753.000000	0.012339	3.079262	0.163524	0.590979	2.179114	
27025.000000	0.015424	3.849077	0.000000	0.738724	2.723892	
27105.000000	0.000000	4.144912	0.000000	0.795501	2.933246	
28389.000000	0.140339	3.764418	0.031929	0.722476	2.663981	
28423.000000	0.155678	4.175851	0.035419	0.801439	2.955141	
28449.000000	0.155678	4.175851	0.035419	0.801439	2.955141	
28467.000000	0.155678	4.175851	0.035419	0.801439	2.955141	
28479.000000	0.142634	3.825965	0.000000	0.734288	2.707536	
28492.000000	0.155828	4.179878	0.057379	0.802212	2.957991	
30829.000000	0.144680	3.705903	0.000000	0.000000	2.746374	
31047.000000	0.000000	3.522800	0.027541	1.560534	2.610680	
31060.000000	0.017920	2.797901	0.021874	1.239417	2.073471	
31100.000000	0.017920	2.797901	0.021874	1.239417	2.073471	
31516.000000	0.020461	3.194716	0.024976	1.415199	2.367543	
31566.000000	0.020461	3.194716	0.024976	1.415199	2.367543	
31567.000000	0.020461	3.194716	0.024976	1.415199	2.367543	
31569.000000	0.020461	3.194716	0.024976	1.415199	2.367543	
31585.000000	0.000000	4.583429	0.000000	2.030372	3.396692	
35348.000000	0.289939	2.351974	0.106051	1.041880	1.743003	
35349.000000	0.206184	1.672551	0.075416	0.740908	1.239496	
37087.000000	0.185968	1.508566	0.068022	0.668266	1.117970	
37092.000000	0.185968	1.508566	0.068022	0.668266	1.117970	
37096.000000	0.185968	1.508566	0.068022	0.668266	1.117970	
37137.000000	0.148433	1.204081	0.054292	0.533385	0.892321	
37167.000000	0.153416	1.244501	0.000000	0.551291	0.922276	
49918.000000	0.000000	1.070314	0.084546	0.474129	0.793189	
49921.000000	0.082649	1.465532	0.115766	0.649203	1.086078	
50077.000000	0.083951	1.488621	0.000000	0.659431	1.103189	
50089.000000	0.080755	1.431955	0.049290	0.634329	1.061195	
51708.000000	0.103581	1.836712	0.063223	0.813629	1.361153	
51765.000000	0.103581	1.836712	0.063223	0.813629	1.361153	
51769.000000	0.103581	1.836712	0.063223	0.813629	1.361153	
51773.000000	0.103581	1.836712	0.063223	0.813629	1.361153	
51776.000000	0.103581	1.836712	0.063223	0.813629	1.361153	
54017.000000	0.109501	1.941680	0.000000	0.860128	1.438942	
54341.000000	0.103231	1.830502	0.004065	0.810878	1.356551	
54380.000000	0.093504	1.658012	0.000000	0.734468	1.228721	
54487.000000	0.073202	1.298026	0.047547	0.575001	0.961943	
54571.000000	0.000000	0.585781	0.021457	0.259490	0.434111	
54937.000000	0.442590	1.149031	0.042089	0.508999	0.851525	
54952.000000	0.311062	0.807565	0.029581	0.357736	0.598471	
55097.000000	0.379236	0.984554	0.036064	0.436139	0.729634	
55128.000000	0.337909	0.877263	0.032134	0.388611	0.650123	
56327.000000	0.372898	0.968101	0.035462	0.428851	0.717442	
57019.000000	0.372898	0.968101	0.035462	0.428851	0.717442	
57836.000000	0.330948	0.859191	0.000000	0.380605	0.636730	
57847.000000	0.433163	1.124558	0.005263	0.498158	0.833389	
58601.000000	0.389645	1.011577	0.000000	0.448109	0.749661	
58650.000000	0.343816	0.892600	0.000000	0.395405	0.661489	
58703.000000	0.345912	0.898040	0.000000	0.397815	0.665520	
58704.000000	0.369008	0.958000	0.000141	0.424376	0.709956	
58713.000000	0.367956	0.955271	0.000140	0.423167	0.707933	
58718.000000	0.400852	1.040674	0.000000	0.460999	0.771224	
59102.000000	0.357842	0.929013	0.002199	0.411535	0.688474	
59105.000000	0.266934	0.693002	0.000000	0.306987	0.513571	
59324.000000	0.270183	0.701436	0.231904	0.310723	0.519821	
59350.000000	0.265562	0.689440	0.227938	0.305409	0.510931	
66868.000000	0.220812	0.573262	0.189528	0.253944	0.424833	
66892.000000	0.228327	0.592773	0.195979	0.262587	0.439293	
66930.000000	0.285350	0.740812	0.244922	0.328166	0.549002	
66938.000000	0.207139	0.537763	0.177792	0.238219	0.398526	
67135.000000	0.177678	0.461279	0.152505	0.204338	0.341845	
67156.000000	0.357764	0.928810	0.307077	0.000000	0.688323	
67167.000000	0.286211	0.743048	0.245661	0.195198	0.550659	
70077.000000	0.204464	0.530821	0.175496	0.139446	0.393381	
70093.000000	0.177678	0.461279	0.152505	0.121178	0.341845	
70219.000000	0.291165	0.755908	0.249913	0.198577	0.560189	
70257.000000	0.291165	0.755908	0.249913	0.198577	0.560189	
71324.000000	0.234307	0.608296	0.201111	0.159799	0.450797	
71345.000000	0.177678	0.461279	0.152505	0.121178	0.341845	
71431.000000	0.177678	0.461279	0.152505	0.121178	0.341845	
73636.000000	0.177678	0.461279	0.152505	0.121178	0.341845	
75311.000000	0.218497	0.567252	0.187541	0.149017	0.420379	
75324.000000	0.222428	0.577458	0.190915	0.151698	0.427943	
76450.000000	0.237877	0.617564	0.204175	0.162234	0.457665	
76471.000000	0.237877	0.617564	0.204175	0.162234	0.457665	
76474.000000	0.237877	0.617564	0.204175	0.162234	0.457665	
85623.000000	0.219542	0.569965	0.188438	0.149729	0.422390	
86000.000000	0.176407	0.457981	0.151414	0.120311	0.339401	
86475.000000	0.000000	1.465827	0.000000	0.385072	1.086297	
86483.000000	0.000000	1.428633	0.000000	0.375301	1.058733	
86489.000000	0.000000	1.193118	0.000000	0.313431	0.884197	
86688.000000	0.000000	2.264001	0.000000	0.594752	1.677809	
86779.000000	0.018556	1.358401	0.018556	0.356851	1.006685	
87329.000000	0.023194	1.698001	0.023194	0.446064	0.000000	
87756.000000	0.018556	1.358401	0.018556	0.356851	0.166983	
87801.000000	0.013426	0.982906	0.013426	0.258209	0.120825	
87899.000000	0.000000	1.202508	0.000000	0.315898	0.147820	
88400.000000	0.000000	1.202508	0.000000	0.315898	0.147820	
88599.000000	0.001959	1.442379	0.001959	0.378912	0.177306	
88622.000000	0.000000	1.622229	0.000000	0.426159	0.199415	
88645.000000	0.000000	3.922238	0.000000	0.000000	0.482146	
88900.000000	0.008939	1.178396	0.008939	0.127123	0.144856	
89013.000000	0.014735	1.942545	0.014735	0.209558	0.238790	
89168.000000	0.008917	1.175585	0.008917	0.126820	0.144510	
89357.000000	0.009016	1.188650	0.009016	0.128229	0.146116	
89428.000000	0.000000	2.962702	0.000000	0.319610	0.364194	
89519.000000	0.004895	0.799433	0.004895	0.086241	0.098271	
89537.000000	0.007122	1.163164	0.007122	0.125480	0.142983	
90411.000000	0.000000	2.764059	0.000000	0.298181	0.339775	
90865.000000	0.000000	2.209358	0.000000	0.238341	0.271588	
90893.000000	0.005760	1.864544	0.005760	0.201143	0.229201	
90942.000000	0.005760	1.864544	0.005760	0.201143	0.229201	
91321.000000	0.000000	2.812647	0.000000	0.303422	0.345748	
91338.000000	0.000000	1.626937	0.000000	0.175510	0.199993	
91406.000000	0.008832	1.534246	0.008832	0.165511	0.188599	
91461.000000	0.007862	1.365852	0.007862	0.147345	0.167899	
91604.000000	0.011084	1.925454	0.011084	0.207714	0.236689	
91748.000000	0.011084	1.925454	0.011084	0.207714	0.236689	
91937.000000	0.000000	2.279958	0.000000	0.245957	0.280267	
91939.000000	0.000363	1.186048	0.000080	0.127948	0.145796	
91948.000000	0.000645	2.108494	0.000000	0.227460	0.259189	
91978.000000	0.000000	2.811325	0.000000	0.303280	0.345586	
91984.000000	0.006877	1.658006	0.003438	0.178862	0.203812	
92054.000000	0.007526	1.814581	0.003763	0.195753	0.223060	
92104.000000	0.007526	1.814581	0.003763	0.195753	0.223060	
92197.000000	0.006632	1.598976	0.000000	0.172494	0.196556	
92443.000000	0.000000	2.411545	0.000000	0.260152	0.296442	
92531.000000	0.010607	1.789474	0.010607	0.193044	0.219973	
92827.000000	0.010607	1.789474	0.010607	0.193044	0.219973	
93116.000000	0.000000	2.411545	0.000000	0.260152	0.296442	
93217.000000	0.001778	1.805443	0.001778	0.194767	0.221936	
93277.000000	0.000000	2.131968	0.000000	0.229992	0.262075	
93465.000000	0.000000	1.858967	0.000000	0.200541	0.228516	
93601.000000	0.029220	1.314808	0.037247	0.141839	0.161624	
93952.000000	0.038949	1.752543	0.049648	0.189061	0.215434	
95311.000000	0.035534	1.598896	0.045295	0.172485	0.196546	
95388.000000	0.000000	1.613933	0.045721	0.174107	0.198395	
95431.000000	0.000000	1.252452	0.035481	0.135112	0.153959	
95724.000000	0.003956	1.193038	0.033798	0.128702	0.146656	
95973.000000	0.000000	2.186994	0.000000	0.235928	0.268839	
95987.000000	0.000000	1.709228	0.000000	0.184388	0.210109	
96766.000000	0.007889	1.124374	0.000000	0.121295	0.138215	
96771.000000	0.009523	1.357245	0.005754	0.146417	0.166841	
96897.000000	0.005745	0.818793	0.003471	0.088330	0.100651	
96913.000000	0.005745	0.818793	0.003471	0.088330	0.100651	
96987.000000	0.000000	1.359689	0.005764	0.146680	0.167141	
97024.000000	0.001815	1.354798	0.005743	0.146153	0.166540	
97206.000000	0.000000	2.034980	0.000000	0.219529	0.250152	
97239.000000	0.000000	1.587228	0.000000	0.171227	0.195112	
97240.000000	0.005297	1.350986	0.004653	0.145741	0.166072	
97494.000000	0.005297	1.350986	0.004653	0.145741	0.166072	
97548.000000	0.004668	1.190421	0.000000	0.128420	0.146334	
97572.000000	0.000000	1.587228	0.000000	0.171227	0.195112	
97608.000000	0.000000	6.138026	0.000000	0.000000	0.000000	
97610.000000	0.014290	0.818793	0.019459	0.014290	0.014290	
97667.000000	0.020641	1.182720	0.028108	0.020641	0.020641	
98044.000000	0.020641	1.182720	0.028108	0.020641	0.020641	
98566.000000	0.020641	1.182720	0.028108	0.020641	0.020641	
99505.000000	0.000000	2.956800	0.070270	0.000000	0.000000	
99598.000000	0.000000	1.732085	0.000000	0.234049	0.293359	
100057.000000	0.008319	1.466118	0.008319	0.198110	0.248312	
100211.000000	0.008319	1.466118	0.008319	0.198110	0.248312	
100372.000000	0.000000	1.322388	0.000000	0.178689	0.223969	
100583.000000	0.021539	1.430806	0.016535	0.193339	0.242332	
101367.000000	0.021539	1.430806	0.016535	0.193339	0.242332	
101478.000000	0.019326	1.283797	0.000000	0.173474	0.217433	
101641.000000	0.021999	1.461336	0.002663	0.197464	0.247503	
101776.000000	0.000000	1.711729	0.000000	0.231299	0.289911	
101900.000000	0.000000	1.711729	0.000000	0.231299	0.289911	
104502.000000	0.060342	1.411012	0.025529	0.190664	0.238979	
104859.000000	0.042414	0.991791	0.000000	0.134017	0.167977	
104910.000000	0.060609	1.417248	0.031431	0.191507	0.240035	
105057.000000	0.060609	1.417248	0.031431	0.191507	0.240035	
105239.000000	0.060609	1.417248	0.031431	0.191507	0.240035	
105304.000000	0.060609	1.417248	0.031431	0.191507	0.240035	
106158.000000	0.060609	1.417248	0.031431	0.191507	0.240035	
106572.000000	0.060609	1.417248	0.031431	0.191507	0.240035	
106824.000000	0.000000	1.735267	0.000000	0.234479	0.293898	
106989.000000	0.000000	1.301451	0.032651	0.175859	0.220423	
107266.000000	0.054570	2.437761	0.061159	0.329404	0.412877	
107346.000000	0.044464	1.986297	0.049832	0.268400	0.336414	
107414.000000	0.049323	2.203370	0.055278	0.297732	0.373179	
107590.000000	0.044464	1.986297	0.049832	0.268400	0.336414	
107938.000000	0.046292	2.067952	0.051881	0.279434	0.350243	
108010.000000	0.058808	0.000000	0.065908	0.353489	0.443443	
108281.000000	0.058966	0.169295	0.066085	0.354438	0.444634	
108643.000000	0.058966	0.169295	0.066085	0.354438	0.444634	
109273.000000	0.000000	0.235763	0.000000	0.493596	0.619205	
109441.000000	0.036971	0.156189	0.036971	0.326999	0.410212	
109732.000000	0.036535	0.154348	0.036535	0.323146	0.405379	
110021.000000	0.052599	0.222213	0.052599	0.465228	0.583618	
110022.000000	0.042867	0.181101	0.042867	0.379156	0.475643	
110213.000000	0.050543	0.213528	0.050543	0.447045	0.560807	
110258.000000	0.050543	0.213528	0.050543	0.447045	0.560807	
110944.000000	0.000000	0.487614	0.000000	0.000000	1.280664	
111200.000000	0.000000	0.350865	0.000000	0.934375	0.910227	
111260.000000	0.037304	0.264904	0.037304	0.705457	0.687225	
111494.000000	0.030584	0.217189	0.030584	0.578388	0.563441	
111810.000000	0.036588	0.259822	0.036588	0.691921	0.674039	
111929.000000	0.045498	0.323094	0.045498	0.860419	0.838182	
111982.000000	0.036588	0.259822	0.036588	0.691921	0.674039	
111988.000000	0.000000	0.433380	0.000000	1.154118	1.124291	
112150.000000	0.133121	0.310992	0.048521	0.828190	0.806787	
112220.000000	0.107746	0.251714	0.039272	0.670329	0.653005	
112410.000000	0.121699	0.284309	0.044358	0.757132	0.737565	
113401.000000	0.152124	0.355386	0.000000	0.946415	0.921956	
113613.000000	0.188017	0.000000	0.070209	1.159232	0.000000	
113676.000000	0.093114	0.464434	0.034771	0.574101	0.128980	
113690.000000	0.100484	0.501193	0.037523	0.619541	0.139189	
113702.000000	0.100484	0.501193	0.037523	0.619541	0.139189	
114197.000000	0.081957	0.408785	0.030604	0.505312	0.113526	
114531.000000	0.000000	0.628154	0.000000	0.776481	0.174447	
114712.000000	0.013011	0.396622	0.013011	0.490277	0.110148	
114790.000000	0.017910	0.545986	0.017910	0.674910	0.151628	
115204.000000	0.000000	0.484535	0.000000	0.598949	0.134563	
115387.000000	0.000000	0.575993	0.000000	0.712003	0.159962	
115557.000000	0.095125	0.406003	0.074891	0.501873	0.112753	
115662.000000	0.111912	0.477650	0.088107	0.590438	0.132650	
115674.000000	0.090342	0.385587	0.071125	0.476637	0.107083	
115905.000000	0.101327	0.432470	0.079773	0.534590	0.120103	
115963.000000	0.090342	0.385587	0.071125	0.476637	0.107083	
116291.000000	0.090342	0.385587	0.071125	0.476637	0.107083	
116366.000000	0.103284	0.440825	0.081314	0.544917	0.122423	
116626.000000	0.103284	0.440825	0.081314	0.544917	0.122423	
116653.000000	0.103284	0.440825	0.081314	0.544917	0.122423	
116659.000000	0.103284	0.440825	0.081314	0.544917	0.122423	
116988.000000	0.129105	0.551031	0.101642	0.681146	0.000000	
117236.000000	0.094379	0.402819	0.074304	0.497937	0.044287	
117931.000000	0.125216	0.534432	0.000000	0.660628	0.058756	
117969.000000	0.100173	0.427546	0.007619	0.528503	0.047005	
118339.000000	0.000000	0.553296	0.000000	0.683947	0.060830	
118357.000000	0.000000	0.553296	0.000000	0.683947	0.060830	
118384.000000	0.040351	0.550200	0.217663	0.680120	0.000000	
118624.000000	0.040668	0.554522	0.219372	0.685462	0.101027	
119796.000000	0.000000	0.451125	0.178468	0.557650	0.082189	
120164.000000	0.117202	0.459615	0.181826	0.568145	0.083736	
121015.000000	0.156103	0.612164	0.242175	0.756715	0.000000	
121280.000000	0.150954	0.591974	0.234188	0.731758	0.058799	
121283.000000	0.150954	0.591974	0.234188	0.731758	0.058799	
121289.000000	0.099435	0.389940	0.154262	0.482017	0.038732	
121938.000000	0.125812	0.493379	0.195183	0.609881	0.049006	
122631.000000	0.151179	0.592854	0.234537	0.732846	0.000000	
122718.000000	0.130772	0.512830	0.202878	0.633925	0.108282	
122757.000000	0.102872	0.403419	0.159595	0.498678	0.085181	
123041.000000	0.000000	0.719078	0.000000	0.888875	0.151831	
123145.000000	0.023493	0.689558	0.023493	0.852384	0.145598	
