Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	
13233.000000	0.007650	0.007650	0.000000	0.101777	0.597651	
13621.000000	0.000000	0.000000	0.000000	0.163709	0.961320	
18007.000000	0.090893	0.090893	0.000000	0.000000	0.628023	
18008.000000	0.000000	0.000000	0.000000	0.000000	2.071742	
18026.000000	0.006863	0.006863	0.006863	0.000000	0.574640	
18370.000000	0.000000	0.000000	0.000000	0.000000	1.814069	
18485.000000	0.085031	0.085031	0.202362	0.174872	0.329095	
26202.000000	0.000000	0.000000	0.331875	0.286792	0.539718	
26204.000000	0.000168	0.000168	0.285387	0.246619	0.464116	
26213.000000	0.000000	0.000000	0.629396	0.543896	1.023567	
26248.000000	0.012195	0.012195	0.453701	0.392068	0.737839	
26714.000000	0.000000	0.000000	1.100355	0.000000	1.789472	
26730.000000	0.001166	0.001166	0.557231	0.000000	0.906206	
26753.000000	0.000000	0.000000	0.857606	0.151608	1.394697	
27025.000000	0.007489	0.007489	0.396545	0.070101	0.644888	
27105.000000	0.000000	0.000000	1.671428	0.295475	2.718188	
28389.000000	0.075349	0.075349	0.000000	0.193362	1.778809	
28423.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
28449.000000	0.000627	0.000627	0.000000	0.181822	0.000627	
28467.000000	0.000000	0.000000	0.331158	0.332304	0.000000	
28479.000000	0.000710	0.000710	0.148901	0.149412	0.175705	
28492.000000	0.000000	0.000000	0.144518	0.145014	0.170533	
30829.000000	0.041078	0.041078	0.084309	0.084599	0.099486	
31047.000000	0.000000	0.000000	0.227107	0.227886	0.267990	
31060.000000	0.001451	0.001451	0.143578	0.144071	0.169425	
31100.000000	0.000000	0.000000	0.000000	0.000000	0.834113	
31516.000000	0.019589	0.019589	0.000000	0.021775	0.259617	
31566.000000	0.000000	0.000000	0.000000	0.046000	0.548453	
31567.000000	0.000027	0.000027	0.000000	0.014229	0.169646	
31569.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
31585.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35348.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35349.000000	0.024694	0.024694	0.000000	0.000000	0.414092	
37087.000000	0.000000	0.000000	0.000000	0.045415	0.708557	
37092.000000	0.000084	0.000084	0.000501	0.017339	0.270519	
37096.000000	0.000000	0.000000	0.000556	0.019243	0.300224	
37137.000000	0.000675	0.000675	0.000000	0.017764	0.277156	
37167.000000	0.000000	0.000000	0.419243	0.000000	0.475196	
49918.000000	0.086420	0.086420	0.175239	0.141949	0.198534	
49921.000000	0.000000	0.000000	0.316261	0.256181	0.358304	
50077.000000	0.001479	0.001479	0.227487	0.184486	0.000000	
50089.000000	0.000000	0.000000	0.000000	0.198491	0.081740	
51708.000000	0.016537	0.016537	0.016537	0.080889	0.033311	
51765.000000	0.000000	0.000000	0.000000	0.165352	0.068093	
51769.000000	0.000166	0.000166	0.000000	0.170170	0.070077	
51773.000000	0.000000	0.000000	0.000000	0.516853	0.000000	
51776.000000	0.035380	0.035380	0.000000	0.129252	0.035380	
54017.000000	0.000000	0.000000	0.000000	0.582824	0.000000	
54341.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
54380.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
