Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	
13233.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
13621.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
18007.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
18008.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
18026.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
18370.000000	0.173642	0.068084	0.068084	0.200000	0.170358	
18485.000000	0.289403	0.000000	0.000000	0.333333	0.283931	
26202.000000	0.173642	0.857953	0.059578	0.215316	0.170358	
26204.000000	0.173642	0.857953	0.059578	0.215316	0.170358	
26213.000000	0.173642	0.857953	0.059578	0.215316	0.170358	
26248.000000	0.217052	1.072441	0.074472	0.269144	0.000000	
26714.000000	0.000000	1.072441	0.074472	0.269144	0.992414	
26730.000000	0.004496	0.857953	0.059578	0.215316	0.793931	
26753.000000	0.004496	0.857953	0.059578	0.215316	0.793931	
27025.000000	0.005620	1.072441	0.000000	0.269144	0.992414	
27105.000000	0.000000	1.429921	0.000000	0.358859	1.323219	
28389.000000	0.041824	0.857953	0.009516	0.215316	0.793931	
28423.000000	0.041824	0.857953	0.009516	0.215316	0.793931	
28449.000000	0.041824	0.857953	0.009516	0.215316	0.793931	
28467.000000	0.041824	0.857953	0.009516	0.215316	0.793931	
28479.000000	0.052281	1.072441	0.000000	0.269144	0.992414	
28492.000000	0.041824	0.857953	0.015401	0.215316	0.793931	
30829.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
31047.000000	0.000000	0.280235	0.002907	0.164720	0.275567	
31060.000000	0.001905	0.224188	0.002326	0.131776	0.220454	
31100.000000	0.001905	0.224188	0.002326	0.131776	0.220454	
31516.000000	0.001905	0.224188	0.002326	0.131776	0.220454	
31566.000000	0.001905	0.224188	0.002326	0.131776	0.220454	
31567.000000	0.001905	0.224188	0.002326	0.131776	0.220454	
31569.000000	0.001905	0.224188	0.002326	0.131776	0.220454	
31585.000000	0.000000	0.373647	0.000000	0.219627	0.367423	
35348.000000	0.036671	0.224188	0.013413	0.131776	0.220454	
35349.000000	0.036671	0.224188	0.013413	0.131776	0.220454	
37087.000000	0.036671	0.224188	0.013413	0.131776	0.220454	
37092.000000	0.036671	0.224188	0.013413	0.131776	0.220454	
37096.000000	0.036671	0.224188	0.013413	0.131776	0.220454	
37137.000000	0.036671	0.224188	0.013413	0.131776	0.220454	
37167.000000	0.045839	0.280235	0.000000	0.164720	0.275567	
49918.000000	0.000000	0.280235	0.029373	0.164720	0.275567	
49921.000000	0.016776	0.224188	0.023498	0.131776	0.220454	
50077.000000	0.020970	0.280235	0.000000	0.164720	0.275567	
50089.000000	0.016776	0.224188	0.010240	0.131776	0.220454	
51708.000000	0.016776	0.224188	0.010240	0.131776	0.220454	
51765.000000	0.016776	0.224188	0.010240	0.131776	0.220454	
51769.000000	0.016776	0.224188	0.010240	0.131776	0.220454	
51773.000000	0.016776	0.224188	0.010240	0.131776	0.220454	
51776.000000	0.016776	0.224188	0.010240	0.131776	0.220454	
54017.000000	0.020970	0.280235	0.000000	0.164720	0.275567	
54341.000000	0.016776	0.224188	0.000661	0.131776	0.220454	
54380.000000	0.020970	0.280235	0.000000	0.164720	0.275567	
54487.000000	0.016776	0.224188	0.010897	0.131776	0.220454	
54571.000000	0.000000	0.280235	0.013621	0.164720	0.275567	
54937.000000	0.114583	0.224188	0.010897	0.131776	0.220454	
54952.000000	0.114583	0.224188	0.010897	0.131776	0.220454	
55097.000000	0.114583	0.224188	0.010897	0.131776	0.220454	
55128.000000	0.114583	0.224188	0.010897	0.131776	0.220454	
56327.000000	0.114583	0.224188	0.010897	0.131776	0.220454	
57019.000000	0.114583	0.224188	0.010897	0.131776	0.220454	
57836.000000	0.143229	0.280235	0.000000	0.164720	0.275567	
57847.000000	0.114583	0.224188	0.001392	0.131776	0.220454	
58601.000000	0.143229	0.280235	0.000000	0.164720	0.275567	
58650.000000	0.143229	0.280235	0.000000	0.164720	0.275567	
58703.000000	0.143229	0.280235	0.000000	0.164720	0.275567	
58704.000000	0.114583	0.224188	0.000044	0.131776	0.220454	
58713.000000	0.114583	0.224188	0.000044	0.131776	0.220454	
58718.000000	0.143229	0.280235	0.000000	0.164720	0.275567	
59102.000000	0.114583	0.224188	0.000704	0.131776	0.220454	
59105.000000	0.143229	0.280235	0.000000	0.164720	0.275567	
59324.000000	0.114583	0.224188	0.098349	0.131776	0.220454	
59350.000000	0.114583	0.224188	0.098349	0.131776	0.220454	
66868.000000	0.114583	0.224188	0.098349	0.131776	0.220454	
66892.000000	0.114583	0.224188	0.098349	0.131776	0.220454	
66930.000000	0.114583	0.224188	0.098349	0.131776	0.220454	
66938.000000	0.114583	0.224188	0.098349	0.131776	0.220454	
67135.000000	0.114583	0.224188	0.098349	0.131776	0.220454	
67156.000000	0.143229	0.280235	0.122937	0.000000	0.275567	
67167.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
70077.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
70093.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
70219.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
70257.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
71324.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
71345.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
71431.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
73636.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
75311.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
75324.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
76450.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
76471.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
76474.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
85623.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
86000.000000	0.114583	0.224188	0.098349	0.075117	0.220454	
86475.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
86483.000000	0.000000	3422.166667	0.000000	1146.638889	3365.166667	
86489.000000	0.000000	3422.166667	0.000000	1146.638889	3365.166667	
86688.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
86779.000000	0.208904	12.054599	0.208904	4.039041	11.853816	
87329.000000	0.261130	15.068249	0.261130	5.048801	0.000000	
87756.000000	0.208904	12.054599	0.208904	4.039041	0.050587	
87801.000000	0.208904	12.054599	0.208904	4.039041	0.050587	
