bp	data_stats...col_RsbN...k.
86483	5.3795
86489	5.390902
88900	3.560341
89013	3.363613
90865	3.580961
90893	3.537765
90942	3.537765
136243	3.396637
136259	3.19605
136307	3.174824
148800	4.205449
148814	4.249292
149575	4.15052
149590	4.15052
161889	3.779607
161917	3.779607
285865	3.996147
285875	3.996147
293412	3.069272
293493	3.112088
316764	3.236941
316812	3.195036
325343	3.867424
325355	3.867424
326271	4.121521
326279	4.121521
331532	3.05743
392152	5.030894
392156	4.954881
400898	3.384046
400958	3.384046
402958	3.312952
403025	3.312952
403378	3.549065
403424	3.549065
439563	3.47158
439569	3.47158
439599	3.604371
453971	3.152628
454040	3.78436
454374	5.37865
454376	5.37865
498024	3.854818
498066	3.898588
498359	3.573092
498364	3.538557
498380	3.538557
498413	3.582183
498430	3.629023
504638	3.130611
504758	3.130611
519277	4.326307
519298	4.326307
631361	4.955223
631366	4.955223
642883	3.026406
643360	3.257758
643403	3.257758
644630	3.81465
644648	3.771176
680471	3.567613
680507	3.524059
686932	3.749961
686944	3.749961
686951	3.749961
1031374	3.208558
1031383	3.338819
1031432	3.266743
1198977	3.299995
1199025	3.299995
1447507	3.141077
1447527	3.598887
1772437	3.283478
1919495	4.11581
1919497	4.900773
1937461	3.444459
1937481	3.527682
1940320	4.464431
1940321	4.464431
1940324	4.464431
1960943	5.194409
1960946	5.237568
1965899	3.004656
1965989	3.004656
1984913	4.243242
1984916	4.243242
1984926	4.287083
2057496	3.177276
2057500	3.268365
2057522	3.270487
