Position	iRESk_prop_ind1	iRESk_prop_ind2	iRESk_prop_ind3	iRESk_prop_ind4	iRESk_prop_ind5	
13233.000000	-1	-1	-1	-1	-1	
13621.000000	-1	-1	-1	-1	-1	
18007.000000	-1	-1	-1	-1	-1	
18008.000000	-1	-1	-1	-1	-1	
18026.000000	0.000000	0.000000	0.015504	0.000000	0.000000	
18370.000000	-1	-1	-1	-1	-1	
18485.000000	-1	-1	-1	-1	-1	
26202.000000	-1	-1	-1	-1	-1	
26204.000000	-1	-1	-1	-1	-1	
26213.000000	-1	-1	-1	-1	-1	
26248.000000	-1	-1	-1	-1	-1	
26714.000000	-1	-1	-1	-1	-1	
26730.000000	-1	-1	-1	-1	-1	
26753.000000	-1	-1	-1	-1	-1	
27025.000000	-1	-1	-1	-1	-1	
27105.000000	-1	-1	-1	-1	-1	
28389.000000	-1	-1	-1	-1	-1	
28423.000000	-1	-1	-1	-1	-1	
28449.000000	-1	-1	-1	-1	-1	
28467.000000	-1	-1	-1	-1	-1	
28479.000000	-1	-1	-1	-1	-1	
28492.000000	-1	-1	-1	-1	-1	
30829.000000	0.021233	0.000000	0.000000	0.000000	0.000000	
31047.000000	-1	-1	-1	-1	-1	
31060.000000	-1	-1	-1	-1	-1	
31100.000000	-1	-1	-1	-1	-1	
31516.000000	-1	-1	-1	-1	-1	
31566.000000	-1	-1	-1	-1	-1	
31567.000000	-1	-1	-1	-1	-1	
31569.000000	-1	-1	-1	-1	-1	
31585.000000	-1	-1	-1	-1	-1	
35348.000000	-1	-1	-1	-1	-1	
35349.000000	-1	-1	-1	-1	-1	
37087.000000	-1	-1	-1	-1	-1	
37092.000000	-1	-1	-1	-1	-1	
37096.000000	-1	-1	-1	-1	-1	
37137.000000	-1	-1	-1	-1	-1	
37167.000000	-1	-1	-1	-1	-1	
49918.000000	-1	-1	-1	-1	-1	
49921.000000	-1	-1	-1	-1	-1	
50077.000000	-1	-1	-1	-1	-1	
50089.000000	-1	-1	-1	-1	-1	
51708.000000	-1	-1	-1	-1	-1	
51765.000000	-1	-1	-1	-1	-1	
51769.000000	-1	-1	-1	-1	-1	
51773.000000	-1	-1	-1	-1	-1	
51776.000000	-1	-1	-1	-1	-1	
54017.000000	-1	-1	-1	-1	-1	
54341.000000	-1	-1	-1	-1	-1	
