bp	data_stats...col_RsbN...k.
437386	-3.799909
699947	-3.00652
708438	-3.255228
708634	-3.407335
708747	-3.276629
708850	-3.359846
708956	-3.135773
709047	-3.433383
709122	-5.402644
709155	-4.362775
709180	-4.370327
709264	-4.137797
709301	-3.900585
709336	-3.900585
709374	-3.502148
709580	-3.9405
709647	-3.229272
709779	-3.445941
709781	-3.879665
709824	-3.0016
709864	-3.0016
709928	-3.06015
710198	-3.546911
710199	-3.963488
710299	-3.527983
710312	-3.283184
710337	-3.350041
710569	-3.48329
710595	-3.395256
710624	-3.395256
710633	-4.155784
710654	-4.036648
710775	-4.036648
710777	-3.81499
710823	-3.553829
711052	-4.89362
711098	-3.92371
711123	-5.432254
711193	-3.238435
711204	-3.238435
711256	-4.74566
711352	-3.119384
711737	-3.594528
711806	-4.090983
711885	-4.036675
711922	-4.401979
711990	-5.6661
711992	-4.515391
712009	-4.510475
712089	-4.510475
712098	-4.76033
712254	-3.382089
713374	-3.410894
713956	-4.699837
716050	-3.028371
733644	-3.192333
735152	-3.09059
751287	-3.423059
752188	-3.220227
1103355	-3.065132
1103387	-3.418608
1103482	-3.377893
1103484	-3.529487
1103503	-3.064029
1103544	-3.351311
1103653	-3.138108
1103702	-3.213131
1103797	-3.684984
1103839	-3.114563
1103913	-3.122715
1103930	-3.446419
1104056	-3.157089
1104102	-2.998492
1104200	-3.511827
1104297	-3.163556
1104311	-3.149511
1104437	-3.068829
1104442	-3.068829
1104449	-3.068829
1104544	-3.368528
1115237	-3.051829
1186627	-3.50377
1186731	-3.155854
1187026	-3.138712
1187243	-3.145682
1188116	-3.054776
1198877	-3.449557
1200178	-3.616938
1201176	-3.289944
1203274	-3.114219
1253979	-5.996122
1687622	-3.676161
1748185	-3.106855
1919606	3.18701
1919708	3.096453
1919711	2.996423
2058713	4.01495
2058883	4.378479
2058887	4.225015
2058931	4.209842
2058943	3.777701
2059029	4.029342
2059104	3.872858
2059180	3.722791
2059215	3.703667
2059258	3.272118
2059318	3.849765
2059485	3.140354
2059681	3.147196
2059880	3.683654
