bp	data_stats...col_RsbN...k.
86483	4.314691
86489	4.416464
148800	3.774879
148814	3.653049
149575	3.661249
149590	3.661249
285865	3.244297
285875	3.108749
325343	3.630123
325355	3.166465
326271	3.431442
326279	3.378482
392152	3.782826
392156	3.782826
454374	4.309391
454376	4.309391
498066	3.121696
631361	4.000178
631366	4.11184
644630	3.436879
644648	3.636683
680471	3.229204
680507	3.381492
686932	3.579201
686944	3.850619
686951	3.555306
694195	3.006518
694210	3.230108
801983	3.511591
802027	3.511591
802991	3.235475
803006	3.402065
803063	3.220205
1186902	3.071344
1198977	3.042188
1199025	3.049254
1447507	3.311855
1447527	3.125539
1919495	4.442838
1919497	4.320542
1940320	3.516951
1940321	3.403935
1940324	4.273618
1960943	4.779301
1960946	4.657442
1984913	4.065548
1984916	4.065548
1984926	4.133367
2033770	3.063647
2057496	3.401387
2057500	3.401387
2057522	3.401387
