Position	Rsbk[0]	Rsbk[1]	Rsbk[2]	Rsbk[3]	Rsbk[4]	
13233.000000	0.007864	0.007864	0.000000	0.104621	0.614349	
13621.000000	0.000000	0.000000	0.000000	0.061723	0.362448	
18007.000000	0.108565	0.108565	0.000000	0.000000	0.750132	
18008.000000	0.000000	0.000000	0.000000	0.000000	0.895160	
18026.000000	0.001897	0.001897	0.001897	0.000000	0.158882	
18370.000000	0.000000	0.000000	0.000000	0.000000	0.819274	
18485.000000	0.090921	0.090921	0.216378	0.186984	0.351889	
26202.000000	0.000000	0.000000	0.118065	0.102026	0.192005	
26204.000000	0.000048	0.000048	0.081080	0.070066	0.131858	
26213.000000	0.000000	0.000000	0.128907	0.111396	0.209638	
26248.000000	0.002079	0.002079	0.077344	0.066838	0.125783	
26714.000000	0.000000	0.000000	0.466541	0.000000	0.758720	
26730.000000	0.000252	0.000252	0.120433	0.000000	0.195856	
26753.000000	0.000000	0.000000	0.286177	0.050590	0.465400	
27025.000000	0.001515	0.001515	0.080235	0.014184	0.130483	
27105.000000	0.000000	0.000000	0.275031	0.048620	0.447274	
28389.000000	0.014210	0.014210	0.000000	0.036465	0.335456	
28423.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
28449.000000	0.000130	0.000130	0.000000	0.037640	0.000130	
28467.000000	0.000000	0.000000	0.058592	0.058794	0.000000	
28479.000000	0.000153	0.000153	0.032037	0.032147	0.037804	
28492.000000	0.000000	0.000000	0.034773	0.034892	0.041033	
30829.000000	0.008203	0.008203	0.016836	0.016894	0.019867	
31047.000000	0.000000	0.000000	0.028061	0.028157	0.033112	
31060.000000	0.000208	0.000208	0.020616	0.020687	0.024328	
31100.000000	0.000000	0.000000	0.000000	0.000000	0.109273	
31516.000000	0.003826	0.003826	0.000000	0.004253	0.050713	
31566.000000	0.000000	0.000000	0.000000	0.008507	0.101427	
31567.000000	0.000008	0.000008	0.000000	0.004253	0.050713	
31569.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
31585.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35348.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
35349.000000	0.011188	0.011188	0.000000	0.000000	0.187615	
37087.000000	0.000000	0.000000	0.000000	0.027221	0.424694	
37092.000000	0.000052	0.000052	0.000315	0.010888	0.169878	
37096.000000	0.000000	0.000000	0.000244	0.008427	0.131471	
37137.000000	0.000457	0.000457	0.000000	0.012013	0.187417	
37167.000000	0.000000	0.000000	0.183008	0.000000	0.207433	
49918.000000	0.061674	0.061674	0.125061	0.101303	0.141686	
49921.000000	0.000000	0.000000	0.182910	0.148163	0.207226	
50077.000000	0.000891	0.000891	0.137024	0.111122	0.000000	
50089.000000	0.000000	0.000000	0.000000	0.086971	0.035815	
51708.000000	0.004517	0.004517	0.004517	0.022096	0.009099	
51765.000000	0.000000	0.000000	0.000000	0.062717	0.025827	
51769.000000	0.000049	0.000049	0.000000	0.050606	0.020840	
51773.000000	0.000000	0.000000	0.000000	0.185559	0.000000	
51776.000000	0.013494	0.013494	0.000000	0.049299	0.013494	
54017.000000	0.000000	0.000000	0.000000	0.197194	0.000000	
54341.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
54380.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
54487.000000	0.000355	0.000355	0.002255	0.000000	0.034740	
54571.000000	0.000000	0.000000	0.004971	0.000000	0.076598	
54937.000000	0.003568	0.003568	0.000000	0.000000	0.077061	
54952.000000	0.000000	0.000000	0.000000	0.093500	0.105199	
55097.000000	0.000816	0.000816	0.000000	0.033915	0.038158	
55128.000000	0.000000	0.000000	0.000000	0.067231	0.075643	
56327.000000	0.009492	0.009492	0.000000	0.036710	0.041303	
57019.000000	0.000000	0.000000	0.000000	0.073897	0.083144	
57836.000000	0.004182	0.004182	0.000000	0.036936	0.041558	
57847.000000	0.000000	0.000000	0.005152	0.049248	0.055410	
58601.000000	0.003043	0.003043	0.000000	0.029512	0.033204	
58650.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
58703.000000	0.000010	0.000010	0.000000	0.156541	0.000000	
58704.000000	0.000000	0.000000	0.002252	0.090896	0.092314	
58713.000000	0.000040	0.000040	0.001180	0.047620	0.048363	
58718.000000	0.000000	0.000000	0.004222	0.170388	0.173046	
59102.000000	0.001743	0.001743	0.000000	0.075067	0.076238	
59105.000000	0.000000	0.000000	0.004219	0.150592	0.152941	
59324.000000	0.001328	0.001328	0.002532	0.090355	0.091764	
59350.000000	0.000000	0.000000	0.000000	0.144061	0.146308	
66868.000000	0.028598	0.028598	0.028598	0.063198	0.064184	
66892.000000	0.000000	0.000000	0.000000	0.148933	0.151256	
66930.000000	0.000245	0.000245	0.000245	0.088777	0.090162	
66938.000000	0.000000	0.000000	0.000000	0.221943	0.225405	
67135.000000	0.001542	0.001542	0.060669	0.000000	0.140342	
67156.000000	0.000000	0.000000	0.075590	0.051825	0.174858	
67167.000000	0.010026	0.010026	0.029433	0.020180	0.068087	
70077.000000	0.000000	0.000000	0.080090	0.056201	0.000000	
70093.000000	0.000589	0.000589	0.034857	0.000000	0.029474	
70219.000000	0.000000	0.000000	0.058184	0.087203	0.060803	
70257.000000	0.004260	0.004260	0.032378	0.048526	0.033835	
71324.000000	0.000000	0.000000	0.058757	0.088062	0.061401	
71345.000000	0.000516	0.000516	0.000000	0.060658	0.042217	
71431.000000	0.000000	0.000000	0.071011	0.088023	0.061160	
73636.000000	0.010142	0.010142	0.026589	0.032959	0.022900	
75311.000000	0.000000	0.000000	0.077045	0.094549	0.000000	
75324.000000	0.003829	0.003829	0.034197	0.041966	0.007776	
76450.000000	0.000000	0.000000	0.075813	0.093038	0.017239	
76471.000000	0.000134	0.000134	0.056379	0.000000	0.012929	
76474.000000	0.000000	0.000000	0.056159	0.000017	0.012879	
85623.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
86000.000000	0.000000	0.000000	0.017064	0.000000	0.005203	
86475.000000	0.002141	0.002141	0.006907	0.002203	0.000000	
86483.000000	0.000000	0.000000	0.009209	0.002938	0.001294	
86489.000000	0.000909	0.000909	0.006907	0.000000	0.000971	
86688.000000	0.000000	0.000000	0.040625	0.000000	0.000000	
86779.000000	0.001922	0.001922	0.006319	0.001922	0.003570	
87329.000000	0.000000	0.000000	0.000000	0.000000	0.030526	
87756.000000	0.000340	0.000340	0.025232	0.000340	0.000000	
87801.000000	0.000000	0.000000	0.032201	0.000000	0.025268	
87899.000000	0.003202	0.003202	0.017878	0.000000	0.014028	
88400.000000	0.000000	0.000000	0.032241	0.000000	0.025299	
88599.000000	0.000669	0.000669	0.010080	0.005597	0.007909	
88622.000000	0.000000	0.000000	0.023797	0.013215	0.018673	
88645.000000	0.001848	0.001848	0.022226	0.012342	0.017440	
88900.000000	0.000000	0.000000	0.023797	0.013215	0.018673	
89013.000000	0.001630	0.001630	0.020336	0.011293	0.015958	
89168.000000	0.000000	0.000000	0.075482	0.041917	0.000000	
89357.000000	0.001319	0.001319	0.017432	0.009886	0.002786	
89428.000000	0.000000	0.000000	0.020496	0.011623	0.003276	
89519.000000	0.000915	0.000915	0.000000	0.000000	0.003023	
89537.000000	0.000000	0.000000	0.000000	0.019894	0.013901	
90411.000000	0.015610	0.015610	0.020946	0.025883	0.000000	
90865.000000	0.000000	0.000000	0.009428	0.000000	0.005137	
90893.000000	0.000235	0.000235	0.000000	0.000000	0.000470	
90942.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
91321.000000	0.000107	0.000107	0.003561	0.000000	0.001416	
91338.000000	0.000000	0.000000	0.006420	0.000000	0.002552	
91406.000000	0.000566	0.000566	0.003268	0.009858	0.001036	
91461.000000	0.000000	0.000000	0.008092	0.024412	0.000000	
91604.000000	0.002551	0.002551	0.006310	0.019037	0.016184	
91748.000000	0.000000	0.000000	0.000000	0.016205	0.014228	
91937.000000	0.000697	0.000697	0.003484	0.007567	0.006644	
91939.000000	0.000000	0.000000	0.005739	0.012464	0.010944	
91948.000000	0.000384	0.000384	0.009392	0.020397	0.017909	
91978.000000	0.000000	0.000000	0.015653	0.033995	0.029848	
91984.000000	0.000747	0.000747	0.009392	0.020397	0.017909	
92054.000000	0.000000	0.000000	0.007832	0.017010	0.014935	
92104.000000	0.001746	0.001746	0.011657	0.025316	0.022228	
92197.000000	0.000000	0.000000	0.020940	0.045476	0.039929	
92443.000000	0.001683	0.001683	0.000000	0.014187	0.012456	
92531.000000	0.000000	0.000000	0.032013	0.000000	0.000000	
92827.000000	0.004457	0.004457	0.009684	0.008198	0.000000	
93116.000000	0.000000	0.000000	0.010414	0.009308	0.010316	
93217.000000	0.001078	0.001078	0.000000	0.005622	0.008426	
93277.000000	0.000000	0.000000	0.009347	0.000000	0.012806	
93465.000000	0.001608	0.001608	0.005256	0.025827	0.006556	
93601.000000	0.000000	0.000000	0.012448	0.061170	0.015528	
93952.000000	0.020100	0.020100	0.000000	0.058960	0.000000	
95311.000000	0.000000	0.000000	0.000000	0.098060	0.000000	
95388.000000	0.000592	0.000592	0.006286	0.024799	0.000000	
95431.000000	0.000000	0.000000	0.022422	0.088456	0.000000	
95724.000000	0.003813	0.003813	0.008969	0.035383	0.005663	
95973.000000	0.000000	0.000000	0.009209	0.036331	0.005814	
95987.000000	0.000163	0.000163	0.013928	0.000000	0.000000	
96766.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
96771.000000	0.000618	0.000618	0.001392	0.001313	0.000000	
96897.000000	0.000000	0.000000	0.001856	0.001751	0.000928	
96913.000000	0.000118	0.000118	0.002090	0.000000	0.000000	
96987.000000	0.000000	0.000000	0.000000	0.020567	0.004239	
97024.000000	0.001578	0.001578	0.005208	0.008947	0.001844	
97206.000000	0.000000	0.000000	0.007211	0.012387	0.000000	
97239.000000	0.000246	0.000246	0.005239	0.009000	0.004891	
97240.000000	0.000000	0.000000	0.008732	0.015000	0.008152	
97494.000000	0.002790	0.002790	0.000000	0.011250	0.006114	
97548.000000	0.000000	0.000000	0.000866	0.013793	0.007496	
97572.000000	0.000319	0.000319	0.000000	0.006609	0.000000	
97608.000000	0.000000	0.000000	0.001170	0.009448	0.000737	
97610.000000	0.000267	0.000267	0.000534	0.000000	0.000276	
97667.000000	0.000000	0.000000	0.008881	0.105657	0.000000	
98044.000000	0.006578	0.006578	0.000000	0.042674	0.000000	
98566.000000	0.000000	0.000000	0.023288	0.092962	0.000000	
99505.000000	0.008932	0.008932	0.000000	0.050475	0.013709	
99598.000000	0.000000	0.000000	0.012150	0.038261	0.010392	
100057.000000	0.003321	0.003321	0.010033	0.031596	0.000000	
100211.000000	0.000000	0.000000	0.020067	0.063191	0.000000	
100372.000000	0.002589	0.002589	0.012887	0.040583	0.004057	
100583.000000	0.000000	0.000000	0.000000	0.094559	0.009453	
101367.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
101478.000000	0.000000	0.000000	0.002886	0.005771	0.000000	
101641.000000	0.000646	0.000646	0.000000	0.001291	0.000646	
101776.000000	0.000000	0.000000	0.003929	0.000000	0.000000	
101900.000000	0.012064	0.012064	0.012613	0.027191	0.000000	
104502.000000	0.000000	0.000000	0.000000	0.097159	0.047756	
104859.000000	0.003317	0.003317	0.003317	0.048946	0.000000	
104910.000000	0.000000	0.000000	0.000000	0.094812	0.000000	
105057.000000	0.000908	0.000908	0.000908	0.000000	0.010986	
105239.000000	0.000000	0.000000	0.000000	0.019584	0.036985	
105304.000000	0.006118	0.006118	0.026554	0.007762	0.017414	
106158.000000	0.000000	0.000000	0.039242	0.000000	0.025735	
106572.000000	0.005871	0.005871	0.034591	0.009547	0.000000	
106824.000000	0.000000	0.000000	0.046122	0.012729	0.004901	
106989.000000	0.004808	0.004808	0.042688	0.000000	0.000000	
107266.000000	0.000000	0.000000	0.023786	0.037194	0.002121	
107346.000000	0.001093	0.001093	0.000000	0.044194	0.000000	
107414.000000	0.000000	0.000000	0.016953	0.066262	0.000000	
107590.000000	0.003796	0.003796	0.011092	0.043353	0.003796	
107938.000000	0.000000	0.000000	0.027090	0.105883	0.000000	
108010.000000	0.001987	0.001987	0.008868	0.034660	0.000000	
108281.000000	0.000000	0.000000	0.000000	0.068344	0.007230	
108643.000000	0.005111	0.005111	0.009222	0.030828	0.000000	
109273.000000	0.000000	0.000000	0.022344	0.074695	0.028947	
109441.000000	0.004297	0.004297	0.000000	0.056021	0.021710	
109732.000000	0.000000	0.000000	0.005983	0.041150	0.015947	
110021.000000	0.002163	0.002163	0.006489	0.044634	0.017297	
110022.000000	0.000000	0.000000	0.000000	0.105089	0.040726	
110213.000000	0.001463	0.001463	0.000000	0.037088	0.000000	
110258.000000	0.000000	0.000000	0.023592	0.076799	0.000000	
110944.000000	0.011005	0.011005	0.023413	0.000000	0.000000	
111200.000000	0.000000	0.000000	0.039759	0.000000	0.026222	
111260.000000	0.001519	0.001519	0.011562	0.007770	0.008240	
111494.000000	0.000000	0.000000	0.000000	0.036555	0.032545	
111810.000000	0.004563	0.004563	0.006367	0.015776	0.014046	
111929.000000	0.000000	0.000000	0.007887	0.018763	0.000000	
111982.000000	0.000870	0.000870	0.000000	0.023715	0.000000	
111988.000000	0.000000	0.000000	0.000000	0.000000	0.010964	
112150.000000	0.003290	0.003290	0.000000	0.101913	0.009275	
112220.000000	0.000000	0.000000	0.055197	0.135884	0.012367	
112410.000000	0.007954	0.007954	0.019660	0.047307	0.000000	
113401.000000	0.000000	0.000000	0.018619	0.044803	0.007673	
113613.000000	0.003909	0.003909	0.041496	0.099851	0.000000	
113676.000000	0.000000	0.000000	0.000000	0.199702	0.055555	
113690.000000	0.000277	0.000277	0.005681	0.074860	0.020825	
113702.000000	0.000000	0.000000	0.004830	0.063645	0.017705	
114197.000000	0.010797	0.010797	0.000000	0.091484	0.025450	
114531.000000	0.000000	0.000000	0.008890	0.121248	0.033730	
114712.000000	0.002113	0.002113	0.000000	0.057301	0.000000	
114790.000000	0.000000	0.000000	0.008791	0.056798	0.081452	
115204.000000	0.002892	0.002892	0.005275	0.034079	0.048871	
115387.000000	0.000000	0.000000	0.000000	0.194177	0.278460	
115557.000000	0.001461	0.001461	0.003373	0.037377	0.053601	
115662.000000	0.000000	0.000000	0.011754	0.130241	0.186772	
115674.000000	0.001623	0.001623	0.004242	0.000000	0.066882	
115905.000000	0.000000	0.000000	0.000000	0.000000	0.240139	
115963.000000	0.002050	0.002050	0.002050	0.004190	0.053164	
116291.000000	0.000000	0.000000	0.000000	0.021114	0.267921	
116366.000000	0.005976	0.005976	0.000000	0.000000	0.178614	
116626.000000	0.000000	0.000000	0.020214	0.047713	0.164270	
116653.000000	0.000173	0.000173	0.006447	0.015218	0.052394	
116659.000000	0.000000	0.000000	0.021758	0.051358	0.176823	
