bp	data_stats...col_RsbN...k.
86483	5.997486
86489	5.997486
88900	3.431391
89013	3.431391
90865	4.008634
90893	3.67765
90942	3.67765
96987	3.04423
97239	3.05044
97572	3.05044
136307	3.195278
148800	4.614752
148814	4.294923
149575	4.237467
149590	4.237467
161889	3.669469
161917	3.815186
164762	3.013389
285865	3.652644
285875	3.319849
325343	3.820719
325355	3.553337
326271	3.878137
326279	3.878137
392152	4.466332
392156	4.466332
403378	3.018003
417132	3.078939
417281	3.078939
439563	3.227024
439569	3.227024
439599	3.227024
454374	4.917465
454376	4.917465
498066	3.090452
519277	4.087984
519298	4.148362
631361	5.202483
631366	5.202483
641227	3.128238
641288	3.128238
641301	3.128238
641312	3.128238
642812	3.24288
642814	3.24288
642823	3.24288
642883	3.24288
643360	3.608393
643403	3.608393
643917	3.426092
644049	3.426092
644292	3.029011
644342	3.029011
644402	3.029011
644630	4.2147
644648	4.2147
680471	3.496084
680507	3.496084
686932	4.193522
686944	4.193522
686951	4.193522
733687	-3.085835
801983	4.164717
802027	4.164717
802991	3.850667
803006	3.850667
803063	3.850667
1003238	3.359378
1003252	3.120504
1003348	3.452058
1031374	3.438161
1031383	3.438161
1031432	3.581519
1031933	3.051529
1031970	3.051529
1047367	3.493987
1047368	3.493987
1047395	3.493987
1047458	3.639385
1114579	-3.155286
1114669	-3.009272
1447507	3.782709
1447527	3.805304
1449936	3.017315
1449975	4.0504
1743306	-3.224223
1745123	-3.205923
1745356	-3.002155
1745365	-3.002155
1745496	-3.256053
1748502	-3.074917
1759447	-3.176516
1759457	-3.530124
1759674	-3.176516
1770896	-3.189423
1770908	-3.56632
1770975	-3.334786
1771300	-3.015842
1771338	-3.456829
1771356	-3.456829
1771374	-3.257208
1771430	-3.129966
1771739	-3.148497
1771752	-3.243403
1771813	-4.063507
1771824	-3.005919
1772460	-3.715735
1772464	-3.564036
1772469	-3.585749
1772946	-3.15373
1919495	4.972965
1919497	4.972965
1931755	3.074871
1937461	3.3957
1937481	3.258515
1938599	3.085363
1940320	3.244658
1940321	3.244658
1940324	3.244658
1960943	4.365014
1960946	4.641077
1984913	4.194283
1984916	4.194283
1984926	4.406429
